дата,время,рейтинг,текст,автор,likes_count,official_answer,город,отделение,люди
2026-04-23,01:32:18,5,"Хороший банк с точки зрения Вложений . Хороший процент по ДЕПОЗИТАМ . Пробовал держать там деньги, очень выгодно . Чем больше сумма, тем ощущается процент накопления.",Дмитрий Чистяков,0,"{'date_created': '2026-04-23T04:18:15.894588+07:00', 'id': '64848521', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, Банки', 'text': 'Доброй ночи!\n\nСпасибо за отзыв! Рады, что вы довольны условиями по депозитам и доходностью💚'}",Павлодар,Академия Сатпаева улица,
2026-04-03,21:11:15,5,"Обслуживание в банке на уровне. Сотрудники внимательные, не хамят, объясняют спокойно, все по-человечески.",Алия Жанакова,0,"{'date_created': '2026-04-04T18:59:44.548296+07:00', 'id': '63916870', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! Спасибо, что поделились вашим опытом. 💚'}",Павлодар,Академия Сатпаева улица,
2026-04-03,20:33:04,5,Вежливый персонал. Обслуживание 👍,Динара Жумалинова,0,"{'date_created': '2026-04-04T18:59:50.853439+07:00', 'id': '63916872', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! Рады, что смогли вам помочь. 💚'}",Павлодар,Академия Сатпаева улица,
2026-04-03,20:31:10,5,"Самый классный банк , обслуживание , проценты и депозиты 👍",Azel Urpekova,0,"{'date_created': '2026-04-04T18:59:57.317037+07:00', 'id': '63916876', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! Спасибо за обратную связь, мы ценим ваше мнение. 💚'}",Павлодар,Академия Сатпаева улица,
2026-04-03,15:06:44,5,Менеджер Райхан профессионально проконсультировала. Спасибо ей большое,Айгерим Арынова,0,"{'date_created': '2026-04-03T20:28:48.525436+07:00', 'id': '63884714', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо вам за приятный отзыв! 💚 Будем стараться и дальше.'}",Павлодар,Академия Сатпаева улица,райхан
2026-04-03,13:04:34,5,"Хороший банк, спасибо сотруднику Айнуре за вежливое обслуживание. А также у Банка удобное приложение, быстрая оплата и бонусы, все нравится",Гульмира Бейсенова,0,"{'date_created': '2026-04-03T20:27:12.047569+07:00', 'id': '63884657', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! 💚 Благодарим за тёплый отзыв! Рады, что вы отметили удобство приложения и качество обслуживания.'}",Павлодар,Академия Сатпаева улица,айнур
2026-04-03,12:56:25,5,Обслуживание на высшем уровне! Спасибо компетентным работникам банка👍👍,Дильназ Базарбава,0,"{'date_created': '2026-04-03T20:24:01.128868+07:00', 'id': '63884552', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! 💚 Благодарим за высокую оценку! Нам очень приятно, что вы остались довольны обслуживанием.'}",Павлодар,Академия Сатпаева улица,
2026-04-02,20:50:49,5,"Пришла уточнить по кредиту, менеджер все объяснила подробно и простыми словами, без сложных терминов. Вот бы везде так обслуживали)",Мейрам Акскарова,0,"{'date_created': '2026-04-03T20:22:54.988582+07:00', 'id': '63884513', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! 💚 Благодарим за тёплый отзыв! Рады, что консультация была понятной и комфортной для вас.'}",Павлодар,Академия Сатпаева улица,
2026-04-01,10:30:02,5,"Очень вежливый персонал, сделали все быстро и чётко",OPIUM OPIUM,0,"{'date_created': '2026-04-01T16:37:56.954039+07:00', 'id': '63760415', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! Рады, что наш сервис вам понравился. 💚'}",Павлодар,Академия Сатпаева улица,
2026-04-01,03:55:41,5,"Рефинансировал кредит в Фридом Банке — в целом доволен, но особых супервыгод не заметил. Тем не менее, платить стало удобнее",олег г,0,"{'date_created': '2026-04-01T16:36:55.057547+07:00', 'id': '63760336', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! Спасибо за ваш отзыв, рады, что вы с нами. 💚'}",Павлодар,Академия Сатпаева улица,
