дата,время,рейтинг,текст,автор,likes_count,official_answer,город,отделение,люди
2026-04-22,18:07:31,5,Менеджер оте керемет кызмет корсетеды обед уакытында да карсы алды,zhanaryspyn *,0,"{'date_created': '2026-04-23T04:24:54.137816+07:00', 'id': '64848565', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы түн! Пікіріңіз үшін көп рақмет! Қызмет көрсету ұнағанына қуаныштымыз. Алғысыңызды міндетті түрде жеткіземіз. 💚'}",Шымкент,Проспект Кунаева,
2026-04-22,14:20:13,3,"Приходите с запасом времени, внутри сотрудник и стоят в очереди на банкомат.
Средняя оценка потому что сотрудники могли бы пропускать клиентов и свои дела делать когда никого нет, время то рабочее было(12:10)

Есть банкомат снаружи , но там человек много денег привез и неготов пропускать время от времени, но что то у него не получается(каждый шаг сопровождается звонком другу)",Yerlan Kurmanbekov,0,"{'date_created': '2026-04-23T04:24:31.262297+07:00', 'id': '64848561', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Доброй ночи! Спасибо за обратную связь. Сожалеем, что визит занял у вас больше времени, чем ожидалось. Мы учтём ваши замечания по организации обслуживания и работе с очередью. 💚'}",Шымкент,Проспект Кунаева,
2026-04-20,18:33:33,5,"Благодарю менеджера Гиззата,проконсультировал,пошагово научил с оплатами. Крайне вежлив и терпеливо отвечает на вопросы,рекомендую",Абищ Актоты,0,"{'date_created': '2026-04-21T07:02:53.625942+07:00', 'id': '64738401', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Доброй ночи! Спасибо за обратную связь, мы ценим ваше мнение. 💚'}",Шымкент,Проспект Кунаева,
2026-04-15,20:29:28,5,Ляззат топ 🤙🏽,Бейімбет Есімханұлы,0,"{'date_created': '2026-04-16T18:54:49.932255+07:00', 'id': '64532650', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Добрый день! Благодарим вас за отзыв 😊 Нам очень приятно, что вы высоко оценили работу нашего специалиста. Будем рады видеть вас снова и всегда готовы помочь!'}",Шымкент,Проспект Кунаева,
2026-04-15,17:08:15,5,Гулжаухарга рахмет,Карлыгаш Султаналиевна,0,"{'date_created': '2026-04-16T18:54:33.309955+07:00', 'id': '64532636', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы күн! Пікіріңіз үшін үлкен рахмет 😊 Қызметімізге жоғары баға бергеніңіз біз үшін өте маңызды. Сізге әрдайым сапалы қызмет көрсетуге дайынбыз!'}",Шымкент,Проспект Кунаева,гулжаухар
2026-04-14,15:05:05,5,"Отличный банк 👍🏻👍🏻👍🏻 Особенно хочу отметить сотрудницу Захиру: вежливая, всё понятно объяснила и помогла быстро решить вопрос💗",ayanchik,0,"{'date_created': '2026-04-14T15:40:27.047596+07:00', 'id': '64414891', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Добрый день! Благодарим вас за отзыв 💚 Рады были вам помочь!'}",Шымкент,Проспект Кунаева,
2026-04-14,15:03:51,5,"Недавно обращалась в филиал Freedom Bank и осталась очень довольна 😊 В отделении чисто, уютно, всё организовано удобно, без очередей и лишней суеты.

Сотрудники вежливые и внимательные, всё спокойно объясняют и действительно помогают разобраться. Отдельное спасибо Захире 💕 — очень приятная, грамотная и заботливая, оставила отличное впечатление.

В целом филиал оставил ощущение комфорта и профессионализма, сюда хочется возвращаться 🌸",Фатима Сулейманова,0,"{'date_created': '2026-04-14T15:36:02.348248+07:00', 'id': '64414564', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Добрый день! Спасибо вам за такие тёплые слова 💚 Нам очень приятно, что смогли помочь и оставить у вас хорошие впечатления.'}",Шымкент,Проспект Кунаева,
2026-04-13,18:51:18,5,Айым деген ресепшендагы кыз оте керемет кызмет көрсетті. өз жұмысын жақсы біледі. жұмыстары өрге өсе берсін. молодец,Ералы Аширов,0,"{'date_created': '2026-04-14T06:30:21.328113+07:00', 'id': '64392411', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы түн! Пікіріңіз үшін рахмет, сіздің ойыңыз біз үшін маңызды. 💚'}",Шымкент,Проспект Кунаева,
2026-04-13,18:50:32,5,"Ресепшендегі Анар өз қызметіне жауапты және келушілерге тиянақты , жақсы түсіндіріп, дұрыс бағыт көрсетеді. Жұмысына сәттілік пен табыс тілеймін.",Ержан Лесбаев,0,"{'date_created': '2026-04-14T06:30:07.796034+07:00', 'id': '64392410', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы түн! Пікіріңіз үшін рахмет, бізбен бірге екеніңізге қуаныштымыз. 💚'}",Шымкент,Проспект Кунаева,анар
2026-04-13,13:07:51,5,Зарина менеджерге үлкен рақмет!,Нурбол Сенгирбаев,0,"{'date_created': '2026-04-14T06:29:53.958492+07:00', 'id': '64392407', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы түн! Кері байланысыңыз үшін рахмет, біз сіздің пікіріңізді бағалаймыз. 💚'}",Шымкент,Проспект Кунаева,
