дата,время,рейтинг,текст,автор,likes_count,official_answer,город,отделение,люди
2026-04-22,12:34:54,5,"Өзира маған күшті көмектесті, прям бәрін асықпай түсіндіріп берді.",Marjan Baidullaeva,0,"{'date_created': '2026-04-22T13:53:39.384839+07:00', 'id': '64809263', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы күн! Менеджер қызметі ұнағанына қуаныштымыз. Кері байланыс қалдырғаныңызға үлкен рақмет.'}",Шымкент,Улица Казыбек би,
2026-04-21,20:12:40,1,Не нагой в этот банк процент очень большой.,Nargiza Ergashova,0,"{'date_created': '2026-04-22T13:52:21.010303+07:00', 'id': '64809174', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Добрый день! Благодарим за обратную связь. Нам жаль, что у вас сложилось такое мнение. Условия по продуктам, включая процентные ставки, формируются индивидуально и зависят от выбранного продукта.\n\nЕсли у вас есть вопросы по тарифу или вы хотите получить подробное разъяснение, пожалуйста, напишите нам в Instagram Direct @bankffin.kz, WhatsApp +7 776 1 595 595 или по номеру 595 — мы обязательно проверим информацию и поможем разобраться.'}",Шымкент,Улица Казыбек би,
2026-04-21,15:28:07,5,"Спасибо, очень довольна банком. Очень помогла мне супервайзер Өзира с открытием карточки, пополнением в банкомате, все подробно и внимательно объяснила. Банк современный, сотрудники очень хорошие. Спасибо большое!",Gulzuan Baitassova,0,"{'date_created': '2026-04-22T13:45:32.046249+07:00', 'id': '64808716', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Добрый день! Благодарим вас за такой тёплый отзыв. Нам очень приятно, что вы остались довольны обслуживанием и работой банка.'}",Шымкент,Улица Казыбек би,қанатқызы өзира
2026-04-20,19:03:01,5,Банк қызметкері Өзира қызға рахмет Жақсы көмек көрсетті!!!,Нурик Нурик,0,"{'date_created': '2026-04-21T07:02:46.357213+07:00', 'id': '64738399', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы түн! Сіздің тілектеріңіз біз үшін өте маңызды. 💚'}",Шымкент,Улица Казыбек би,қанатқызы өзира
2026-04-20,15:40:53,5,Өзира сіз өз ісіңіздің маманы екенсіз! Сізге алғысым шексіз … Түсіндіру қалай пайдалануды өте жоғары дәрежеде үйреттіңіз! Сізге тілейтінім кәсіби жоғарылау,Бакытжан Козыайдаров,0,"{'date_created': '2026-04-20T17:30:52.900785+07:00', 'id': '64710621', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы күн! \nПікір қалдырғаныңыз үшін рақмет! Сізге жағымды әсер қалдырғанымызға қуаныштымыз.💚'}",Шымкент,Улица Казыбек би,қанатқызы өзира
2026-04-17,18:44:22,5,"Өзира ханымға үлкен рақмет. 
Күшті көмек көрсетті❤️",Б ❤️,0,"{'date_created': '2026-04-17T19:12:16.959934+07:00', 'id': '64587581', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы кеш! Кері байланысыңызға рақмет. Банк менеджерінің көрсеткен көмегіне көңіліңіз толғанына өте қуаныштымыз.'}",Шымкент,Улица Казыбек би,
2026-04-17,11:55:44,5,Қызымет жаксы жасайды рақмет бардым 2минта тындырып берді тірлігімді рақметтт,Apple User,0,"{'date_created': '2026-04-17T19:11:34.245275+07:00', 'id': '64587541', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы кеш! Кері байланысыңызға рақмет. Қызмет көрсету жылдамдығы мен сапасына көңіліңіз толғанына өте қуаныштымыз. Бізді таңдағаныңыз үшін алғыс білдіреміз!'}",Шымкент,Улица Казыбек би,
2026-04-16,15:38:26,5,Өзира менеджер жұмысымды тез бітіріп берді рахмет 😇,Галия Бидайбеког,0,"{'date_created': '2026-04-16T18:55:08.619063+07:00', 'id': '64532662', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы кеш! Пікіріңіз үшін үлкен рахмет 😊 Сізге әрдайым көмектесуге дайынбыз!'}",Шымкент,Улица Казыбек би,
2026-04-15,11:40:12,1,Салима деген менеджер ужас Адам сиякты айтсан сунбейды. Тусындырып айтык.1 жулдыз оган коп Фридом банк сотрудник караныз! Лично озым барып книга жалоб жазамын! Фридом банк ужассс! Баска банк барсан сунеды .,А 💜,1,"{'date_created': '2026-04-16T18:54:14.973772+07:00', 'id': '64532623', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы күн! Кері байланысыңыз үшін рахмет. Сіз сипаттаған жағдайға байланысты көңіліңіз қалғанына өкініш білдіреміз.\n\nБұл мәселе міндетті түрде қаралады және жауапты бөлімге жеткізіледі. Сіздің пікіріңіз біз үшін маңызды, себебі ол қызмет сапасын жақсартуға көмектеседі.'}",Шымкент,Улица Казыбек би,
2026-04-14,21:58:54,1,Салима деген менеджер жумысына оте немкурайлы карайды оте нашар банк жагдайынды тусындырып айтсан вообще тусынбейды Салима деген менеджерге отыныш тастаганыма 2 ай болды жауабын енды айтып отыр,Султанбек Исаев,2,"{'date_created': '2026-04-16T18:53:18.331782+07:00', 'id': '64532588', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, филиал в г. Шымкенте', 'text': 'Қайырлы күн! Кері байланысыңыз үшін рахмет. Қызмет көрсету барысында осындай жағдайдың орын алғанына және өтінішіңіздің қаралуында кешігу болғанына өкініш білдіреміз.\n\nМәселені міндетті түрде тексеріп, тиісті бөлімге жолдаймыз. Сіздің пікіріңіз біз үшін өте маңызды және қызмет сапасын жақсартуға көмектеседі.'}",Шымкент,Улица Казыбек би,
