дата,время,рейтинг,текст,автор,likes_count,official_answer,город,люди
2026-04-09,20:57:26,5,Менеджер Имангали рахмет,Бахалек .,0,"{'date_created': '2026-04-09T23:40:23.246848+07:00', 'id': '64198519', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы кеш! Пікіріңізге көп рақмет 😊'}",Талдыкорган,имангали ынталы
2026-04-07,18:59:28,5,"Хочу выразить огромную благодарность супервайзеру Имангали, профессионал своего дела! Время сэкономила и больше узнала о своих возможностях в вашем банке! Имангали доброжелательный и отзывчивый сотрудник, желаю только процветания👏🏻",Аконя Каленова,0,"{'date_created': '2026-04-07T21:57:35.430366+07:00', 'id': '64074191', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Благодарим вас за тёплые слова! Нам очень приятно, что вы остались довольны обслуживанием. Будем рады видеть вас снова💚✨'}",Талдыкорган,имангали ынталы
2026-04-07,18:58:43,5,фридом банк💚🫶🏻,Улбике Омар,0,"{'date_created': '2026-04-07T21:51:44.990796+07:00', 'id': '64073991', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо большое, что выбираете нас. Всегда рады вам☺️'}",Талдыкорган,
2026-04-07,18:57:52,5,Отличный сервис 👍🏻,Айгерим Мукатова,0,"{'date_created': '2026-04-07T21:44:01.416435+07:00', 'id': '64073630', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо вам большое за добрые слова! Очень приятно, рады сотрудничать🙌🏻'}",Талдыкорган,
2026-04-03,12:04:56,4,Что может понравиттся сами понимаете 😅,Ляззат Абишева,0,"{'date_created': '2026-04-03T18:57:51.240327+07:00', 'id': '63879729', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! 😊 Спасибо за обратную связь! Нам важно ваше мнение — будем стараться становиться лучше для вас.'}",Талдыкорган,
2026-04-03,11:42:03,5,"Айман ханымға көп көп рахмет🙏🏻, фридмдағы проблеманы 15 ақ минутта жасап берді, білікті маман🤗",Айжан Бейсембай,1,"{'date_created': '2026-04-03T18:56:15.437993+07:00', 'id': '63879655', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! 🌸 Жылы пікіріңізге үлкен рақмет! Мәселеңіздің тез шешілгеніне қуаныштымыз.'}",Талдыкорган,
2026-03-28,19:02:33,5,Ок,оркен айкын,0,"{'date_created': '2026-03-28T19:44:36.807606+07:00', 'id': '63552883', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Благодарим вас за отзыв 💚'}",Талдыкорган,
2026-03-21,03:01:04,5,Хочу выразить огромную благодарность менеджеру по Юр. Лицам Шакировой Гульфайруз. В свой короткий предпраздничный день не оставила свое рабочее место пока не решила мой вопрос. Очень Вам благодарна💐,Артур Морланг,0,"{'date_created': '2026-03-21T03:47:53.78741+07:00', 'id': '63162092', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! Нам приятно получать ваш отзыв. 💚'}",Талдыкорган,гульфайруз шакирова
2026-03-14,22:51:01,5,"Хочу выразить искреннюю благодарность сотруднику банка Камалбековой Акботе за высокий профессионализм, внимательное отношение и качественное обслуживание.
Акбота проявила себя как компетентный и ответственный специалист: подробно объяснила все интересующие вопросы, помогла быстро решить возникшую ситуацию и сделала процесс обслуживания максимально комфортным.",Ляззат Куришбек,0,"{'date_created': '2026-03-16T01:28:33.106078+07:00', 'id': '62846501', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Доброй ночи! Спасибо за обратную связь, мы ценим ваше мнение. 💚'}",Талдыкорган,акбота камалбекова
2026-03-14,22:50:35,5,"Хочу поблагодарить сотрудника банка Камалбекову Акботу за отличное обслуживание. Очень вежливая, внимательная и компетентная — всё подробно объяснила и быстро помогла решить мой вопрос. Приятно обращаться, когда работают такие профессионалы!",𝔂𝓮𝓻𝓴𝓮 🤍,0,"{'date_created': '2026-03-16T01:27:51.752493+07:00', 'id': '62846479', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Доброй ночи! Спасибо за ваш отзыв, нам важно ваше мнение. 💚'}",Талдыкорган,акбота камалбекова
2026-03-11,20:28:54,5,"Хочу выразить благодарность Камалбековой Акбота за профессионализм, вежливость и внимательное отношение. Все вопросы были решены быстро и понятно. Очень приятно получать такой качественный сервис. 👍",Ернур Нургалыков,0,"{'date_created': '2026-03-12T04:41:56.807197+07:00', 'id': '62674517', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Доброй ночи! Благодарим вас за тёплый отзыв и высокую оценку работы Акботы.'}",Талдыкорган,
2026-03-11,19:23:32,5,"Отличный современный банк!!!
Удобное приложение, хорошие кэшбэки.",Дулат Мухамадиев,0,"{'date_created': '2026-03-11T19:40:39.501492+07:00', 'id': '62658071', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за отзыв! Рады, что вам нравится наше приложение и возможности кешбэка. 💚'}",Талдыкорган,
2026-03-11,19:11:39,5,Очень вежливые сотрудники. Всегда готовы помочь. Спасибо большое!,Rasul Rrr,0,"{'date_created': '2026-03-11T19:39:56.977275+07:00', 'id': '62658028', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за отзыв! Рады, что вы отметили вежливость и готовность сотрудников помочь. 😊'}",Талдыкорган,
2026-03-11,19:09:43,5,Спасибо за быстрое и вежливое обслуживание. Всё объяснили понятно и помогли решить вопрос.,Перизат Нурлыбаева,0,"{'date_created': '2026-03-11T19:40:14.815442+07:00', 'id': '62658045', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за отзыв! Рады, что вы остались довольны внимательным и оперативным обслуживанием, а ваш вопрос был решён понятно и быстро. 😊'}",Талдыкорган,
2026-03-11,19:08:36,5,Let our money be safe,Es_ 019,0,"{'date_created': '2026-03-11T19:39:22.922607+07:00', 'id': '62657988', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Good evening!\nThank you for your feedback! Your money is completely safe, and we do everything possible to ensure it is securely protected.'}",Талдыкорган,
2026-03-11,19:05:47,5,Очень доволен обслуживанием сотрудников банка. Спасибо большое!,Ержан 01,0,"{'date_created': '2026-03-11T19:37:52.485851+07:00', 'id': '62657900', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Благодарим за обратную связь! Нам важно, чтобы каждый клиент оставался доволен нашим сервисом. 😊'}",Талдыкорган,
2026-03-11,19:01:07,5,Отличное обслуживание.,Гульнара Шарипова,0,"{'date_created': '2026-03-11T19:37:20.843378+07:00', 'id': '62657860', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо за отзыв! Рады, что вам понравился наш сервис и работа банка.'}",Талдыкорган,
2026-03-11,18:47:41,5,"Спасибо за обслуживание!
Хороший банк.",Айсулу Шарипова,0,"{'date_created': '2026-03-11T19:33:46.720506+07:00', 'id': '62657671', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо, что поделились своим впечатлением! Рады, что вы оценили качество обслуживания.'}",Талдыкорган,
2026-03-11,18:47:04,5,"Мне во Фридом Банке все нравится, особенно радует что можно быстро оформит ипотеку или автокредит, все онлайн. В общем, я очень довольна!",Адамбекова Айгерим,0,"{'date_created': '2026-03-11T19:37:35.342123+07:00', 'id': '62657880', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за тёплый отзыв! Рады, что вы остались довольны возможностью быстро и удобно оформлять ипотеку или автокредит онлайн. Нам важно, чтобы наши клиенты могли решать финансовые вопросы комфортно и без лишних сложностей. 😊'}",Талдыкорган,
2026-03-11,18:32:13,5,Огромное спасибо сотруднику Имангали Ынталы за внимательность и вежливость,Bagi,0,"{'date_created': '2026-03-11T19:32:50.537569+07:00', 'id': '62657608', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо за ваш отзыв! Нам приятно слышать, что вы остались довольны внимательностью и вежливостью персонала.'}",Талдыкорган,имангали ынталы
2026-03-11,18:30:16,5,"Приходили с ребенком открывать его первую детскую карту во Фридом. Отделение светлое, чистое, очередей почти не было. Менеджер попалась очень приятная — общалась не только со мной, но и с сыном, объяснила ему простым языком, как пользоваться картой и копить деньги. Оформили всё быстро, минут за 15. Ребенок в восторге, я тоже довольна сервисом!",Гүлмайра Иса,0,"{'date_created': '2026-03-11T19:32:19.935337+07:00', 'id': '62657581', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо за ваш отзыв! Приятно слышать, что отделение и онлайн-поддержка работают для вас удобно и эффективно. Нам важно, чтобы каждый клиент мог быстро и комфортно решать свои вопросы.'}",Талдыкорган,
2026-03-11,17:57:01,5,"Добрый день, клиент менеджер Акбота Камалбекова очень привлекательная",Кенеспек Арайлым,0,"{'date_created': '2026-03-11T19:31:38.381618+07:00', 'id': '62657539', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за отзыв. Нам приятно, что обслуживание в нашем банке оставило у вас положительное впечатление. 😊'}",Талдыкорган,акбота камалбекова
2026-03-11,17:56:18,5,"Была сегодня в банке обслуживала Кристина Евгеньевна, очень приятная девушка, четко все объяснила 👍🏼такая вежливая, спокойная, добрая 😍😍спасибо за такой сервис Фридом 🙏🏼 Вы лучшие 🫶🏻",Алия Иссаева,0,"{'date_created': '2026-03-11T19:31:22.64256+07:00', 'id': '62657526', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за тёплый отзыв и высокую оценку! Рады, что обслуживание в нашем банке оставило у вас такое приятное впечатление. Мы всегда стараемся делать сервис максимально комфортным для клиентов.'}",Талдыкорган,
2026-03-11,17:54:31,5,"Решила начать копить сыну на будущее и выбрала для этого Фридом Банк. Понравилось, что условия максимально прозрачные: четко расписано, сколько можно снимать, как пополнять и когда не сгорают проценты. Настроила автопополнение с зарплатной карты — теперь деньги сами откладываются, и я вообще об этом не думаю. Отличный инструмент для семейных накоплений",Symbat Mukhametzhan,0,"{'date_created': '2026-03-11T19:31:03.804328+07:00', 'id': '62657509', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за такой тёплый и подробный отзыв! Рады, что вы оценили удобство и прозрачность наших услуг, а также возможность автоматического пополнения для накоплений. Мы стремимся делать финансовые инструменты простыми и полезными для каждой семьи. 😊'}",Талдыкорган,
2026-03-11,17:49:44,5,"В само отделение заходила всего один раз, когда нужно было решить нестандартный вопрос по старому счету. Очередь была небольшая, менеджер попалась очень толковая — всё объяснила и быстро помогла. Но огромный плюс Фридома в том, что в отделения ходить практически не нужно, 99% вопросов решаются онлайн через поддержку",Иса Алтынгул Иса,0,"{'date_created': '2026-03-11T19:30:41.931323+07:00', 'id': '62657487', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер!\nБлагодарим вас за тёплый отзыв! Рады, что вы остались довольны обслуживанием в отделении. Нам важно, чтобы клиенты могли быстро и комфортно решать вопросы любым удобным способом.'}",Талдыкорган,
2026-03-11,17:45:18,5,"Мне понравилось обслуживание во Фридом Банке, спасибо Айман за оказанную консультацию. Процветания Вам!",Мадина Имандосова,0,"{'date_created': '2026-03-11T19:30:03.080097+07:00', 'id': '62657447', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый вечер! Спасибо за ваш отзыв. Нам очень приятно, что обслуживание оставило у вас положительное впечатление. 😊'}",Талдыкорган,
