дата,время,рейтинг,текст,автор,likes_count,official_answer,город,люди
2026-04-20,14:44:14,5,Рахмет,Ulan Koyshibaev,0,"{'date_created': '2026-04-20T17:48:04.323833+07:00', 'id': '64712054', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! \nЖоғары бағалауыңыз үшін үлкен рақмет!'}",Туркестан,
2026-04-20,11:51:04,5,Рахмет Ұлбикеге!👍🏻,Azamat Ospanov,0,"{'date_created': '2026-04-20T17:47:32.852022+07:00', 'id': '64711998', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! \nКері байланысыңыз үшін рақмет! Сізге көмектескенімізге өте қуаныштымыз.💚'}",Туркестан,
2026-04-16,16:27:26,5,Улбикеге рахмет! 🫶,Жансая Сейсенбекова,0,"{'date_created': '2026-04-16T18:27:20.025408+07:00', 'id': '64531047', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Пікіріңіз үшін үлкен рахмет 😊 Сізге әрдайым сапалы қызмет көрсетуге дайынбыз!'}",Туркестан,ұлбике
2026-04-15,18:30:10,5,Амирхан улбосын самая лучщая,D 💋,0,"{'date_created': '2026-04-16T18:26:18.33895+07:00', 'id': '64530984', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Добрый день! Благодарим вас за отзыв 😊 Нам очень приятно, что вы высоко оценили работу нашего специалиста. Будем рады видеть вас снова и всегда готовы помочь!'}",Туркестан,амирхан
2026-04-14,18:54:59,5,"Менеджер Толеган Еркежан Базарбайкызы, сызге коп коп рахмет. Өте жәрдемші болдыңыз",Samira Yuldasheva,0,"{'date_created': '2026-04-16T18:25:17.881667+07:00', 'id': '64530928', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Пікіріңіз үшін үлкен рахмет 😊 Қызметіміз сізге пайдалы болып, көмегіміз тигеніне өте қуаныштымыз.'}",Туркестан,
2026-04-13,14:17:56,5,рахмет Улбикеге картамды алуга комектести😍,Нагима Оспанова,0,"{'date_created': '2026-04-14T06:24:59.883242+07:00', 'id': '64392372', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы түн! Пікіріңіз үшін рахмет, бізбен бірге екеніңізге қуаныштымыз. 💚'}",Туркестан,ұлбике
2026-04-11,17:42:32,5,Ұлбике жумысы өте керемет,Nurbek Abdulabek,0,"{'date_created': '2026-04-12T07:27:13.343293+07:00', 'id': '64291230', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Пікіріңізді алуға қуаныштымыз. 💚'}",Туркестан,
2026-04-11,14:56:40,5,Улбике жумысы оте керемет,Айс,0,"{'date_created': '2026-04-12T07:26:29.566131+07:00', 'id': '64291226', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Пікіріңіз үшін рахмет, сіздің ойыңыз біз үшін маңызды. 💚'}",Туркестан,
2026-04-11,14:45:34,5,Улбике озының жумысын жаксы аткарады молодец👍,_017,0,"{'date_created': '2026-04-12T07:25:56.076994+07:00', 'id': '64291209', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Пікіріңіз үшін рахмет, бізбен бірге екеніңізге қуаныштымыз. 💚'}",Туркестан,
2026-04-11,14:45:06,5,Оте керемет,ersultan Mak,0,"{'date_created': '2026-04-12T07:25:14.39478+07:00', 'id': '64291208', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Бізбен бірге болғаныңыз үшін рахмет. 💚'}",Туркестан,
2026-04-11,14:06:26,5,"Очень понравилось качество обслуживания особенно Улбике внимательная , всё объясняет чётко и по делу😘",Anara A,0,"{'date_created': '2026-04-12T07:24:33.229274+07:00', 'id': '64291203', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Доброе утро! Рады, что наш сервис вам понравился. 💚'}",Туркестан,ұлбике
2026-04-11,13:58:58,5,Улбике рахмет,Айза ❤️,0,"{'date_created': '2026-04-12T07:23:51.532632+07:00', 'id': '64291200', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Пікіріңізді алуға қуаныштымыз. 💚'}",Туркестан,
2026-04-11,13:56:48,5,"Улбике, рахмет большой!Быстро и качественно обслужила.👍🏻👍🏻",Екося Абдыхадырова,0,"{'date_created': '2026-04-12T07:22:50.382254+07:00', 'id': '64291194', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Доброе утро! Рады, что смогли вам помочь. 💚'}",Туркестан,
2026-04-08,11:57:22,5,Улбикеге рахмет! Саттилик,Turkestan Turkestan,0,"{'date_created': '2026-04-08T17:42:05.514334+07:00', 'id': '64118020', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Біздің қызметіміз сізге ұнағанына қуаныштымыз. 💚'}",Туркестан,ұлбике
2026-04-07,18:55:12,5,"Хочу выразить благодарность сотруднику банка Улбике, очень приятно слышать слово «чем я могу вам помочь?»☺️
Побольше таких доброжелательных сотрудников 😘",Аконя Каленова,0,"{'date_created': '2026-04-08T03:26:01.789931+07:00', 'id': '64083450', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Доброй ночи!\nСпасибо за ваш отзыв🤝🏻 Очень рады, что обслуживание оставило у вас приятное впечатление💚'}",Туркестан,ұлбике
2026-04-07,17:19:42,5,Рахмет улкен,Azizbek Khayrullaev,0,"{'date_created': '2026-04-08T03:22:26.935247+07:00', 'id': '64083407', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы түн! Үлкен рақмет! Сіздің кері байланысыңыз біз үшін өте маңызды💚'}",Туркестан,
2026-04-05,03:36:57,5,Амирхан Улбосын оте биликти маман,Кура Кура,0,"{'date_created': '2026-04-06T10:32:40.213452+07:00', 'id': '63967599', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы таң! Менеджер қызметін жоғары бағалағаныңызға үлкен рақмет.'}",Туркестан,улбосын әмірхан
2026-04-03,14:42:07,5,"Еркежанның жұмысы өте қатты ұнады, ашық-жарқын өз жұмысын тиянақты орындады ,үлкен рахмет!!!",Баян Тасыбекова,0,"{'date_created': '2026-04-04T19:02:45.230129+07:00', 'id': '63916986', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Кері байланысыңыз үшін рахмет, біз сіздің пікіріңізді бағалаймыз. 💚'}",Туркестан,
2026-04-02,13:25:23,5,Әмірхан Улбосын молодец қыз көп рахмет,Ғалымжан,0,"{'date_created': '2026-04-02T16:12:24.882378+07:00', 'id': '63814336', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank', 'text': 'Қайырлы күн! Біздің қызметіміз сізге ұнағанына қуаныштымыз. 💚'}",Туркестан,улбосын әмірхан
