дата,время,рейтинг,текст,автор,likes_count,official_answer,город
2026-04-21,16:11:20,5,"Огорчил их ЗПИФ, потерял деньги. Но в остальном брокер стабильный, уже много лет на рынке. Другие идеи и позиции, в целом, радуют, пока портфель в плюсе.",Мурат Аширов,0,,Актау
2026-04-07,02:51:32,5,"Надежный брокер. Вывод средств проходит в установленные сроки 👌 Опасался, что кинут и не выведут, но нет, тут всё по закону и без проблем.",Бақберген Д,0,,Актау
2026-04-01,03:02:34,4,"У Фридом Брокера много плюсов: доступ к рынкам, обучающие материалы, разные инструменты. Но приложение порой виснет, а сделки проходят медленно. Тарифы для малой торговли тоже могли бы быть ниже",Дмитрий Михеев,0,,Актау
2026-03-30,03:38:18,5,"Как частный инвестор, рекомендую Фридом Брокер. У них удобная платформа, хорошие условия для торговли и компетентная поддержка",Pupsik,0,,Актау
2026-03-23,21:50:20,5,"Доволен брокером на 10 из 10. Инвестирую в американские акции. Все сделано удобно, приложение особо не тормозит.",Мурат Жашкеев,0,,Актау
2026-02-26,22:47:55,5,"Нравится, что есть доступ к IPO, но информация о них появляется в приложении с опозданием. Однажды пропустила размещение из‑за этого. Было бы здорово получать уведомления заранее",Полька .,0,,Актау
2026-01-21,14:43:35,5,"Удобный брокер, я считаю. Все необходимое есть и для новичков, и для профессионалов возможности открыыты",Актан Саттаров,0,,Актау
2026-01-20,15:00:35,5,"Спасибо поддержке, быстро помогли мне с вопросом получения смс-кода.",Бектур Искендер,0,,Актау
2026-01-19,19:21:10,5,"Брокер неплохо так развивается, расширяет и тот уже большой список инструментов.",Тимур Бекболат,0,,Актау
2026-01-19,19:09:08,5,"Впервые попробовала инвестировать через Freedom Broker, открыла счет пару минут. Все быстро и понятно.",Аяжан Токтамурат,0,,Актау
2025-12-24,01:18:17,5,У Фридома крутой сервис и аналитики профессионалы своего дела. В приложении часто выходят инвест идеи и многие из них срабатывают,Тимур Исламов,0,,Актау
2025-12-24,01:08:51,5,"Хотел брокера с прямым доступом к иностранным биржам. У Freedom можно торговать не только NYSE, NASDAQ, но даже и LSE, и HKEX. По-моему крутое преимущество.",Гулим Аскербек,0,,Актау
2025-12-24,00:44:45,5,"Получил три месяца сниженных комиссий по тарифу тариф Академик, плюс прошел бесплатное обучение, стало понятнее, как все работает.",Рашит Полатов,0,,Актау
