дата,время,рейтинг,текст,автор,likes_count,official_answer,город
2026-03-29,00:39:27,5,"В целом, Фридом Брокер производит положительное впечатление, но хотелось бы более быстрого исполнения сделок и более лояльных тарифов для небольших объёмов торговли",Pupsik,1,,Кокшетау
2026-03-03,19:18:56,5,"Техподдержка отвечает быстро, но не всегда компетентна в сложных вопросах. Однажды пришлось звонить трижды, чтобы получить чёткий ответ. Было бы здорово повысить квалификацию сотрудников.",Сергей Карпов,0,,Кокшетау
2026-01-23,16:57:33,5,"Брокер ничуть не хуже других отечественных компаний. К квику подключение есть, приложение имеется, инструментов хватает, лицензия МФЦА, четко прописанные тарифы. Торгую преимущественно опционами больше полугода, не жалуюсь. Главное, твоя стратегия и холодный расчет при решении по сделке.",Исмаил Мамиров,0,,Кокшетау
2026-01-21,14:32:07,5,"Инвестирую с наставником по тарифу ""Инвестиционная подписка"". Доплачиваешь 10$ в месяц, а ценности море. Там и обучение, эфиры, поддержка и т.д. В общем не жалею ни капли. Получается в мир инвестиций ведут за ручку.",Феруза Мамбетова,0,,Кокшетау
2026-01-19,19:25:45,5,"Конрентно этого брокера я выбрал из-за четырех основных пунктов:
1 - большой выбор инструментов
2 - выбор тарифов
3 - приятная консультация менеджеров без навязывания лишниг услуг компании
4 - это все таки ветка международного брокера, а не дочка банка как другие брокерские компании",Азат Мусабаев,0,,Кокшетау
2026-01-19,19:07:00,5,"Чисто на мой взгляд Freedom отличный брокер. Хоть и кажется, что инвестиции для избранных, но и для новичков у брокера есть поддержка в виде обучений и специальных тарифных планов со сниженными комиссиями. Поэтомму очень достойный брокер я считаю",Канат Айзаров,0,,Кокшетау
2025-12-25,18:28:18,5,"Мне нравится этот брокер. Начинала с 200$ инвестиций в казахстанские компании. Сейчас уже добавила американских акций. Реально удобно видеть все инвестиции на одном счете. И для диверсификации брокер предлагает варианты вложений валюты под хороший % годовой доход. Всем рекомендую хотя бы воспользоваться этой возможностью, ни один банк не даст 7% годовых тем более в валюте.",Гульнара Сапарбаева,1,,Кокшетау
2025-12-07,03:02:48,5,"Плюсы: стабильная работа платформы, быстрое исполнение сделок, широкий выбор финансовых инструментов. Мобильное приложение удобное: всё необходимое под рукой, интерфейс понятный. Из минусов — хотелось бы видеть более широкий спектр аналитических инструментов.",Алексей Шалимов,0,,Кокшетау
2025-11-19,17:37:03,5,"Я новичок. У брокера в приложении есть раздел с идеями инвестиций, там очень все круто расписано. Пока учусь поглядываю за этими сделками и нарабатываю опыт так сказать. Очень помогает",Нурлан Касымов,0,,Кокшетау
2025-07-22,17:13:02,5,"У Freedom понравилось, что есть инструменты на любой вкус и цвет. Но на себе ощутил, если ты новичок, то сложно разобраться, нет пошаговых инструкций. На карту вывод денег моментально происходит, задержек не было. Поддержка норм, отвечают вежливо, но не всегда знают, что ответить. Это конечно так себе. Если готовы мириться с такими нюансами, то вариант отличный",Денис,0,,Кокшетау
2025-05-14,00:50:04,5,"Прошёл обучение от Фридоме. Но практика показала - реальная торговля сложнее чем в учебных примерах. Хорошо что менеджеры помогают разобраться с первыми сделками, иначе было бы сложно",Тарас Цуканов,0,,Кокшетау
