дата,время,рейтинг,текст,автор,likes_count,official_answer,город
2026-04-23,02:01:14,5,"После дтп переживал, что начнут тянуть время. Но нет, все прошло достаточно быстро.",Даниил Фитискин,0,,Павлодар
2026-04-23,01:55:33,5,"Сервис на уровне, все понятно и прозрачно. Без мелких шрифтов. Сотрудники вежливые",Аяла Л,0,,Павлодар
2026-04-21,17:49:27,5,При оформлении небольших повреждений не нужно возиться с бумагами. Фото загрузил и все. По-мне это самый уобный способ. Экономит столько времени,Алия Жанакова,0,,Павлодар
2026-03-30,22:40:27,1,"Крайне негативный опыт со страховой компанией.

Попал в ДТП. Оценка ущерба проводится онлайн — и уже на этом этапе начинаются проблемы. Сначала заявляют, что «увидели не все повреждения» на видео. Хорошо, переснял всё повторно по их же требованиям. Но даже после второго круга ситуация не изменилась.

Машина новая, бампер фактически под замену — в расчёте указывают ремонт. 
Цены на запчасти занижены. 
Стоимость работ берут минимальную, далёкую от реальных расценок. 
Итоговая выплата — значительно ниже стоимости нормального ремонта.

Видео принимают выборочно. Говорят, что снято «не по инструкции», хотя снимал строго по шагам. Затем присылают другую инструкцию, которая отличается от первоначальной. Полный бардак.

Дозвониться невозможно — полдня пытался связаться. Сотрудники перекидывают друг на друга, никто ничего конкретного не говорит. Ответственности ноль.

Создаётся впечатление, что компания намеренно занижает ущерб и затягивает процесс, чтобы выплатить как можно меньше. В итоге вместо нормального урегулирования приходится тратить время, нервы и деньги.

Теперь вынужден обращаться к независимому оценщику и, скорее всего, добиваться справедливой выплаты через суд.

Сервис — полный отстой. 
Категорически не рекомендую связываться с этой страховой компанией. ❌",Maxim Melnikov,0,,Павлодар
2026-03-12,00:50:42,5,Быстрое обслуживание,S K,0,,Павлодар
2026-03-03,18:02:28,5,Колл-центрдегі мамандарға рахмет сақтандыруды тез рәсімдеуге көмектесті. Сонымен қатар жеке кабинеттен полистің жарамдылық мерзімін әрқашан қарап отыруға болады.,Айнур Омарова,0,,Павлодар
2026-02-28,23:59:20,5,каско бойынша жақсы сома төленді. Өтініш беру кезінде көмектескен менеджерге рахмет.,Заир Маканов,0,,Павлодар
2026-02-28,01:23:16,5,"Қалыпты сақтандыру компаниясы, ОГПО бойынша өтемақыны дұрыс есептеді. Бірнеше жыл бұрын басқа сақтандыру тым аз есептеп бергені есімде.Фридомды ұсынамын.",Балгимбаев Азат,0,,Павлодар
2026-02-18,16:12:05,1,Очень недовольна уже 11 дней выплаты нет придумали регламент 15 рабочих,Кымбат Рустемова,0,,Павлодар
2026-02-13,17:05:36,5,"Очень хорошая страховая компания, выплату произвели в течении недели, вся процедура проходила онлайн, никуда ехать не пришлось, это очень удобно особенно если живёшь в пригороде. Машина на гарантии поэтому при оценки детали все оценили под замену. Работой компании доволен!",Серик Ризабек,0,,Павлодар
2026-02-06,17:07:38,5,ДТПни косымшада онай рэсимдеуге болады! Оте ынгайлы!,Айнур Садыкова,0,,Павлодар
2026-02-06,17:05:27,5,Сақтандырудың жұмысына ризамын. Тез көмектесті! Маман Аянға рақмет!,Саламат Ильясов,0,,Павлодар
2026-01-30,20:43:30,5,Удобно через дтп.кз оформлять. Без ожидания ГАИ,Aidar Aikenov,0,,Павлодар
2026-01-30,20:40:20,5,"Попала в ДТП. Виноват водитель другого авто. Мужчина скандальный, не шел на контакт. Быстро оформить онлайн и разбежаться не получилось. Пришлось ждать полицию и оформлять страховой случай. Ждала ответа от страховой чуть боьше месяца, потом страховая оплатила все расходы на ремонт.",Korlan Aikenova,0,,Павлодар
