дата,время,рейтинг,текст,автор,likes_count,official_answer,город
2026-04-02,13:22:56,5,"Подключил, проверяю полет пока хороший.
Ставьте роутер у окна и проверяйте, вижу многие ставят возле компьютера - знайте это так не работает.",Miras Berdikhan,0,,Актау
2026-03-26,14:39:30,1,"Обслуживание ужасное, не смог даже нормально узнать что за тарифы, типа что пришел если заранее не узнал тарифы через интернет.",Рашид Антуфьев,0,,Актау
2026-03-20,15:36:18,1,Интернет не отключился. Номер для связи есть?,zhadira kanai,0,,Актау
2026-03-18,03:19:35,1,1201 далага кетти !! В 18 мкр работал но 19 оно мусор !!! 5 Джи нету в 19 не ведитесь у нас нету сотовых вышек 5 джи но может через 50 лет,Турист Футурист,0,,Актау
2026-03-08,21:21:03,1,сеть ұстамайды операторлар айтады бірақ орындамайды 👎🏻,Adik Alkiev,1,,Актау
2026-03-05,09:44:55,1,Алмай ақ қойыңдар. Мүлдем сеть ұстамайды. Өкініп жатырмын. Қайтарып тасаймын. Осы отырғанда мобиьлный интернетпен жазып отырмын. Масқара ғой. 😢🫣😳,Ainur Bexeitkyzy,1,,Актау
2026-03-04,21:09:37,1,"Полнейшее г , какая скорость 300. Повелся, как баран. Пока нет интернета,операторы сразу отвечают по консультации, но как только Вы подключаете, Вы идете ну Вы поняли, куда идете
Вот, зацените. Завтра же поеду, сдам эту коробку",Артём .,0,,Актау
2026-03-01,12:08:40,1,Зачем вам такой интернет,arman atamuratov,0,,Актау
2026-02-28,16:41:50,5,…,YKK .,0,,Актау
2026-02-04,13:07:41,1,"Вместо обещанного 1 гбит 
Дают 16 мбит,ужасный интернет и сервис мертвый",090 LEX,1,,Актау
2026-01-28,20:38:03,1,"Ужасный интернет😭 мало того, что вместо обычного роутера, мне принесли аутдур и воткнули его как попало в квартире и ушли, без должной установки на улице и т.д. Так он еще и НЕ ЛОВИТ😂 магическим образом показывает 200+ мбит/с, но по факту уже два месяца даже инстаграм не можем спокойно прогрузить. Пользуемся мобильным. Это ещё прям возле роутера, а если в другую комнату уйти вообще - пиши пропало. Крч, не ведитесь и подключите себе проводной интернет лучше",Нурия Утешова,2,,Актау
2025-12-04,22:33:00,1,"Непонятные мошеннические звонки поступают бесконечно с телефонного номера, зарегистрированного под этой компанией. Не знаю, чем занимаются, но мне высылают личные данные своих клиентов. Абай, прекращайте сталкерство!",Gaukhar Rashidova,6,,Актау
