дата,время,рейтинг,текст,автор,likes_count,official_answer,город
2026-04-17,16:07:13,1,бүгін 3 ші күн интернет өшіп қалып жатыр 1 ші күн айтты авария болыпты сіздер жақта деп ладно дедім бір өшіп бір істеп издеваться етіп бүгін тағы өшті звандасам тех жұмыс дейді недеген бітпейтін тех жұмыс удаленно жұмыс жасайм үйде қанша сөгіс алдым осыдан интернет жоқ жұмыста жоқпын колл центр хабарлассам біз ештеңе істей алмаймыз дейд вообще дұрыстаңыздар мынаны астындағы отзыв оқысам каждый день тех жұмыс каждый день аварияма ???төлеп жатырқ ақшасын сонда күнде өшіп қала беретініне төлеп жатырмызба?ауыстыру керек болды фридомды,Madina 💋,0,,Шымкент
2026-04-17,09:54:41,1,"Ужасный интернет, лучше не подключать. Из месяцам пользования интернетом, его не было примерно 20 дней. То отключится, то тех работы, то сигнал слабый. В колл-центре ничего не делают а только принимают заявку и никто не приходит.",Adil Ariche,0,,Шымкент
2026-04-08,17:42:41,1,"Интернета не было более двое суток, писала не раз в тех. поддержку. Говорили, что авария на районе и идёт ремонт - все. Платишь не малую сумму за интернет, который может не работать двое суток в будние дни и от тех. поддержки толком никакой помощи.",Леана Корганбаева,0,,Шымкент
2026-04-08,05:32:15,1,Уже 3ий день интернет не работает!!! 4000 поддержка на роьоте стоит что технические работы! Каждые 5 минут интернет не работает! Что все ОФФ ИНТЕРНЕТ???,Alihan,0,,Шымкент
2026-04-06,14:28:43,1,интернет дохлый скорость ниже черепахи,Мурат Санакулов,0,,Шымкент
2026-04-05,17:43:17,1,"Интернет не работает по несколько дней,скорость низкая,даешь заявку на нестабильный интернет,они ничего не делают,говорят перезвонят и на этом всё,не ведитесь на рекламу,компания предоставляет некачественные услуги,сервис центр работает,ответ один всегда авария на линии и всё,не говорят через сколько устранят,каждые выходные интернета нет от слова совсем",Зульфия Розметова,0,,Шымкент
2026-04-04,17:04:34,5,Обслуживание оте жаксы барын тусцндырды,nurtileu orynbasar,0,,Шымкент
2026-04-02,19:59:10,1,"один беспонтовый запрос через Вацап обрабатывается три дня, до поддержки не дозвонится, постоянно говорят что передали специалистам уже третий день",Shinzo Akuma,0,,Шымкент
2026-03-28,22:27:32,1,"Очень разочарована вашим сервисом и уровнем обслуживания. Помимо прочего, отсутствуют даже базовые видеоинструкции по установке. Вместо помощи вы предлагаете менять телевизор, как будто это не требует дополнительных затрат. Ответы поступают очень медленно.
Операторы на звонках отвечают с большими задержками — приходится ждать по 10 минут. Обещают перезвонить или написать, но этого не происходит, и в итоге клиент остаётся без ответа.
Оценка за обслуживание — -1.
Я действительно расстроена: при таком имидже компании вы не можете предоставить специалиста для подключения, даже несмотря на моё предложение оплатить его услуги дополнительно.
Спасибо за такое впечатление.",Asiya Askarova,0,,Шымкент
2026-03-22,21:24:55,1,"максимально отвратительный интернет, уже более 5 дней каждые 10 минут на 5 минут отключается, причем на сайт роутера можно зайти, ещё был момент когда целый день тупо не было интернета. призываю всех - не подключаться, особенно если работаете с дома. максимально плохой интернет.",My Slaydrome,0,,Шымкент
2026-03-15,14:20:31,1,"Самый кон ченный интернет который у меня был 
Даже на телефоне пинг стабилнее
Короче не советую кто рассматривают для себя🙌🏻",Ереке .,0,,Шымкент
2026-03-06,18:11:05,5,👍🏻,ɴᴜʀʙɪʙɪ 🕊,0,,Шымкент
2026-03-05,02:01:34,1,"Самый ужасный интернет который у нас был, который не работает через день! Заманивают своими акциями,потому что интернет 💩💩💩",Раиса Новикова,1,,Шымкент
2026-03-02,01:49:21,5,"Шырын деген кызга улкен рахмет 🫶🏻🫶🏻🫶🏻🫶🏻 камерада алдым, роутерда алдым. Жаксы, тусиникти кызмет корсетти. Жарайсын Шырын. Жумысын алга баса берсин. Кунаева 48 адресинде",Асель Бакыткызы,0,,Шымкент
2026-02-25,11:43:27,1,Интернет не работает уже три недели. Ваши сотрудники постоянно обманывают и дают ложные обещания.,Nurbol Zhalgasbaev,0,,Шымкент
2026-02-12,15:42:16,1,"Ужасно три дня не работает офис ,тех поддержка не отвечает ! Моя компания разоряется !",Мадина Амангельдиева,0,,Шымкент
2026-02-11,20:05:11,1,"Интернет құрғанымызға 3 күн болды 1 күн істеді содан кейін интернет жоқ, колл-центрге 3 рет заявка қалдырдым ешкім хабарласпады еще колл-центрге 2 сағат күтіп әрең түсесің, специалистер келіп көрмейді, тексермейді, интернетсіз отырмыз. Өте нашар сервис, жауапкершілік жоқ вобще. Тек уәдемен қатырады бірақ ешнәрсе істемейді екен, фридом телеком интернетін қостырмаңыздар…",Apple User,0,,Шымкент
2026-02-03,09:32:34,1,"Подал заявку он лайн на подключение интернета , перезвонили, договорился забрать на следующий день с Кунаева 48, прихожу а модемов нет, так мне сказали что человек 20 так отфутболили в тот день Абсолютно не серьезно, какая то шараж контора получается. Раз я позвонил, назвал свое имя, телефон, меня зарегистрировали, нафига эта процедура, если модема за тобой не застолбили.",Рафаэль Гилязиев,0,,Шымкент
