id;дата;время;рейтинг;текст;автор;is_verified;is_hidden;hiding_type;likes_count;comments_count;official_answer;фото_count;provider;url
234350354;2026-04-07;02:38:19;5;Открыл расчётный счёт для фирмы у Фридома, подключил эквайринг с хорошим тарифом. У банка гибкие условия для малого бизнеса.;Бақберген Д;False;False;;0;1;{'date_created': '2026-04-07T05:40:05.978841+07:00', 'id': '64025428', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Доброй ночи! Благодарим вас за отзыв 💚\nРады, что вы выбрали нас для обслуживания вашего бизнеса и оценили условия по расчётному счёту и эквайрингу 🙌\nЖелаем вашему бизнесу роста и процветания! Всегда готовы поддержать и помочь 😊'};0;2gis;
233657961;2026-04-03;21:08:52;5;Выражаю благодарность менеджеру, извините забыл имя, за профессиональную помощь. Обслуживание прошло оперативно и оставило самые приятные впечатления;Мурат Мадиев;False;False;;0;1;{'date_created': '2026-04-04T18:44:59.455937+07:00', 'id': '63916387', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый день! Спасибо за ваши ценные комментарии.'};0;2gis;
231751941;2026-03-26;14:38:48;5;Жақсы тусіндіреді;Ахат Қорынбай;False;False;;0;1;{'date_created': '2026-03-26T22:16:37.136394+07:00', 'id': '63468869', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': '💚💚💚'};0;2gis;
229080822;2026-03-14;20:13:22;1;Ноль просто контора . Никого ответа от менеджера или от банка.;Bolat Amreyev;False;False;unrated_manual;0;0;;1;2gis;
228896320;2026-03-13;21:53:57;1;банк расии для серых тем и обхода санкции , ребрендинг не изменило ваше отношения к людям , не пользуйтесь услугами этого банка .;Sancho Stopor;False;False;;0;0;;0;2gis;
228881376;2026-03-13;20:45:20;5;хотела машину давно уже, планировала накопить, но из-за непредвиденных трат решила взять кредит на авто, выбрала Фридом банк из-за удобства оформления и коротких сроков рассмотрения. Ребя не подвели, все быстро и юез проблем оформила. Спасибо;Әди Ержанұлы;False;False;;0;1;{'date_created': '2026-03-13T23:15:07.752198+07:00', 'id': '62774939', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый вечер! Спасибо за доверие и выбор нашего Банка! Рады, что оформление прошло быстро и удобно для вас 🚗💚'};0;2gis;
228693228;2026-03-12;21:14:44;5;Сотрудники, которые консультируют по кредиту молодцы, рассказали все в деталях Спасибо, оформила выгодный кредит для ИП. Рассмотрели тоже за один день, как и обещали. Спасибо;Рамина Махмудова;False;False;;0;1;{'date_created': '2026-03-12T23:23:12.054854+07:00', 'id': '62723313', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый вечер!\nБлагодарим за ваш отзыв! Рады, что консультация была подробной, а оформление кредита прошло быстро и удобно. Ваши слова вдохновляют нашу команду продолжать работать для клиентов с вниманием и профессионализмом.'};0;2gis;
218826029;2026-02-12;12:27:05;5;Отличное приватное отделение. Хочу поблагодарить менеджера Ускенову Алию за оперативную помощь, чёткое разъяснение. Именно такая работа коллектива (персональных менеджеров, кассира (также хочу отметить ее работу), способствует долгосрочному сотрудничеству с банком.;Don4a !;False;False;;0;1;{'date_created': '2026-02-12T20:27:55.13693+07:00', 'id': '61269246', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый вечер! Благодарим вас за такой развёрнутый и тёплый отзыв 😊 Нам очень приятно, что вы отметили профессионализм и командную работу сотрудников. Спасибо за доверие и выбор нашего банка!'};0;2gis;
218169306;2026-02-10;13:59:53;5;Отделение камерное, но очень удобное! Менеджер Алия все очень доступно объяснила , помогла разобраться в тонкостях проведения платежей в Европу, оперативного оформления банковских кард! Самое удобное, что попасть в него можно прямо в отеле, что называется в тапочках)) в общем, для постояльцев отеля - это очень комфортно) Буду тут обслуживаться впредь!);Николай Попов;False;False;;0;1;{'date_created': '2026-02-10T15:33:30.630389+07:00', 'id': '61141277', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый день, благодарим, что уделили время и написали отзыв 😌💚'};0;2gis;
215734905;2026-01-30;23:26:59;5;Здраствуйте,у меня есть Фредом супер ап для моей Білім класс,онлайн есть карта,я чтобы платить в магазинах нужно пойти и открыть? Нельзя до дома?;Salta .;False;False;;0;1;{'date_created': '2026-01-31T13:03:31.004405+07:00', 'id': '60606952', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый день! Вы можете привязать карту к Apple Pay, Google Pay или Samsung Pay для бесконтактной оплаты и использовать цифровую карту для покупок через терминалы. Также родитель может заказать пластиковую карту для ребенка прямо в своем мобильном приложении Freedom SuperApp.'};0;2gis;
215650861;2026-01-30;17:23:01;5;"Очень оперативно и профессионально сработали сотрудники данного отделения. На необходимые вопросы получил максимально развёрнутые ответы. Без очередей, ожиданий и с максимальной лояльностью к клиенту.
Благодарен, рекомендую🙏";Эдгар Уразметов;False;False;;0;1;{'date_created': '2026-01-30T17:55:19.670636+07:00', 'id': '60580205', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый день! \nБлагодарим вас за отзыв. \nРады, что обслуживание прошло оперативно и профессионально, и что вы остались довольны качеством консультации. \nСпасибо, что вы с нами!💚'};0;2gis;
215440702;2026-01-29;17:28:28;1;"Некомпетентные и грубые менеджеры. Зашла открыть карту и получить выписку, так меня футболили и говорили «ждите 20 минут», потом вообще сказали «у нас только по записи, идите в зале сидите, пока не позовем, у нас вип-отделение». 

Нигде не указано, что только по записи - это первое, можно было сказать сразу, а не заставлять меня ждать почти 40 минут, а после еще и грубить мне, потому что у меня на лбу не написано, что у меня есть деньги открыть вип-карту - это второе.

Ни проконсультировали, нагрубили и не решили мой запрос.";Dilya Abd;False;False;;1;1;{'date_created': '2026-01-29T21:36:33.761664+07:00', 'id': '60539248', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Добрый вечер! Нам искренне жаль, что вы столкнулись с таким отношением и получили негативный опыт при посещении отделения. Мы уже передали ваш отзыв руководству для детального анализа и принятия необходимых мер. Благодарим вас за обратную связь - она помогает нам улучшать качество обслуживания.'};0;2gis;
213785953;2026-01-22;18:36:45;5;Очень грамотное обслуживание. Алия профессионал своего дела. Все четко и быстро. Спасибо.;Marat Bakiyev;False;False;;0;1;{'date_created': '2026-01-23T15:40:14.335343+07:00', 'id': '60212023', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Спасибо, что выбрали нас 🙏 Рады стараться.💚'};0;2gis;
212539411;2026-01-16;23:05:54;3;Максимально не удобное расположение;StK K;False;False;;1;1;{'date_created': '2026-01-18T03:19:31.51949+07:00', 'id': '59922012', 'logo_preview_urls': {}, 'org_name': 'Freedom Bank, отделение по обслуживанию VIP-клиентов', 'text': 'Доброй ночи! Спасибо, что поделились своим мнением. Нам жаль, что расположение оказалось для вас неудобным. Мы обязательно учтём ваш отзыв при дальнейшем расширении и будем рады видеть вас снова 🙌🏻'};0;2gis;
