id;дата;время;рейтинг;текст;автор;is_verified;is_hidden;hiding_type;likes_count;comments_count;official_answer;фото_count;provider;url
237244845;2026-04-20;16:01:24;5;Инвестирую через Freedom уже несколько лет. Нравится объем информации. Их аналитика, обзоры, новости рынков все это помогает принимать решения.;Шугыла Абакова;False;False;;0;0;;0;2gis;
236757657;2026-04-18;01:25:41;5;Есть и обучение, и аналитика, и разные тарифы. Брокер и для новичков, и для более опытных инвесторов.;Аяжан Файозова;False;False;;0;0;;0;2gis;
236554306;2026-04-17;01:32:32;5;Спасибо поддержки быстро помогли востановить мне доступ к личному кабенету.;Аяжан Токтамурат;False;False;;0;0;;0;2gis;
236138305;2026-04-15;16:37:25;5;С Фридомом инвестирую второй год, брокер активно развивается и постепенно расширяет линейку инструментов и сервисов. Супер.;Данияр Ильясов;False;False;;0;0;;0;2gis;
235957960;2026-04-14;15:31:49;5;Хороший выбор ценных бумаг. Все основные инструменты, которые мне нужны, у брокера есть.;Казбек Есимов;False;False;;0;0;;0;2gis;
235876701;2026-04-13;23:48:32;5;4-й год инвестирую через Фридом. Портфель долгосрочный, брокер меня устраивает. Была пара косяков, но исправлялись, извинялись. В целом не критично.;Ауельбек Дюсебаев;False;False;;0;0;;0;2gis;
235296198;2026-04-11;02:15:01;5;Фридом нравится мне не только как брокер, но тем, что и как банк можно использовать. Т.е берете карту инвестора с 4я видами валюты и если вдруг надо, то можно воспользоваться картой. Переводы между счетами моментальные.;Айгуль Л.;False;False;;0;0;;0;2gis;
235044746;2026-04-09;22:12:02;5;Выводил деньги несколько раз, все приходило на карту без задержек.;Абылай Сакбаев;False;False;;0;0;;0;2gis;
234877069;2026-04-09;02:34:09;5;Считаю Freedom одним из лучших брокеров на рынке Казахстана. Возможностей реально много, особенно для тех кто хочет инвестировать за рубежом реально рабочий и выгодный вариант.;Асель Каримова;False;False;;0;0;;0;2gis;
234557840;2026-04-08;01:50:17;5;С Фридом брокером я уже больше года, никаких проблем не возникало. Все работает стабильно. Нравится ещё, что суперап развивают. Если инвестиции туда полноценно перенесут, будет интересно.;Гульзира Жумабаева;False;False;;0;0;;0;2gis;
234353419;2026-04-07;03:21:49;5;Работаю с ETF на долгосрок. Брокер надежный, отчетность прозрачная, все операции отображаются корректно.;Гулназ Жумагазиева;False;False;;0;0;;0;2gis;
233660424;2026-04-03;21:19:16;5;Начиная с 20года успел поработать с большинством наших брокеров. И по итогу остался с Фридомом. Тут много инструментов, много всего можно поторговать. Да, комиссии не самые низкие, но столько возможностей мало кто дает.;Валихан Мустафин;False;False;;0;0;;0;2gis;
