id;дата;время;рейтинг;текст;автор;is_verified;is_hidden;hiding_type;likes_count;comments_count;official_answer;фото_count;provider;url
237294068;2026-04-20;19:51:04;1;Специалисты так и не связались 😒;W221 Designo;False;False;;0;0;;0;2gis;
236472673;2026-04-16;19:43:38;1;2,5 месяца уже мучаюсь с этой страховой;Жанибек Сунатуллаев;False;False;;0;0;;0;2gis;
235165663;2026-04-10;15:36:39;1;Пользоваться Вашими услугами сплошной стресс, с 28 февраля не могу получить выплаты, устроили бюрократию, сколько можно вкладывать документы в Ваш сервис dtp.kz, не упростили, а усложнили все в 1000 раз, никому посоветую с Вами связываться;Anar Abuova;False;False;unrated_manual;0;0;;0;2gis;
235114193;2026-04-10;11:07:37;1;Непродуман страховой случай;Azhibek Kanatbek;False;False;;0;1;;0;2gis;
232089888;2026-03-27;23:06:23;1;Пожалел что связался с этой компанией. Элементарные вопросы по полису не могли решить всем отделом. Тебя все время вежливо игнорируют.... а сюдя по отзывам здесь славы богу не произошло страхового случая;Mario Lucker;False;False;;0;1;;0;2gis;
230933357;2026-03-23;01:15:48;1;өте нашар оценка дұрыс шығармайды;Айбол Нышанбай;False;False;;0;1;;0;2gis;
230910207;2026-03-22;22:53:31;1;Страховку невозможно оформить, ни в приложении, ни на сайте. Спустя 10 минутного созвона с поддержкой, получилось, а в итоге они привлекают кэшбэком, но по факту они накидывают «комиссию платежной системы» 4к😂 пошла без проблем оформила онлайн в другой страховой;Aika A;False;False;;0;1;;0;2gis;
230470352;2026-03-20;20:43:23;1;Оформил страховой полис на трех человек. Оплатил 33 806 тысячи и даже не посмотрел, что сама страховка стоит 22 806 тенге, плюс 11 000 тенге страховому агенту Тумар! Я в шоке! Больше дел со страховой Фридом иметь не буду!;Alisher Miradj;False;False;;0;1;;0;2gis;
230178062;2026-03-19;14:02:40;5;Благодарю сотрудников кол центра а имено парня который сегодня разговаривал со мной все чётко оьтяснил не футболил. Все разяснил. Хорошо выполняет свою работу. Видно компитетнтный сотрудник.;Ескендир Едрисов;False;False;;0;0;;0;2gis;
228442301;2026-03-11;17:52:56;1;Оформляла машину в спец цоне. Там же предложили страховку. Согласилась (о чем после пожалела) При страховании не добавили ещё одного водителя, хотя мы сразу сказали и даже дали документы. Но сотрудница цона сказала теперь звоните брокеру Тумар. Кто он такой вообще и что не понятно!!! Звоним ему, он нормально ничего объяснить не может, говорит снова обратиться к сотруднику цона. Короче, начали играть в футбол! После получили техпаспорт, снова звоню Тумар. Отправила все запрашиваемые доки, сказал что через минут 10 в личном кабинете все будет. Ничего подобного! Звоню снова, отвечает уже другая девушка. Прошу пошагово объяснить, снова ничего. Короче платформа не работает! Вечером уже психанула, решила аннулировать договор и оформить в нормальной страховой, удержали 20 %. А прошло то всего полдня!!!!! Вообщем совет, если толкаете продукт, нужно его знать!!!;Фарида Игангалиева;False;False;;1;0;;0;2gis;
221250133;2026-02-22;20:40:04;3;Попал в ДТП 5го февраля (2026г) фура перестраиваясь меня не заметила, подал заявку 9го на страховку онлайн через 3-4 дня пришел отчет 840 495тг при том что моя машина на гараний в автосалоне Allur там мне за ремонт посчитали 2млн, я конечно не согласился данной сумме отправил на расмотрения... Через пару дней они начальную сумму сократиди на 54тыс и в итоге 786 664 вместо того чтобы добавить урезали... И такое оказываеться бывает, теперь жду второго отчета! И вообще этот онлайн заявка фигня польная ведь на фото это одно а увидеть авто глазами совсем другое же... По этому сумма ущерба очень мало выходить! Моя машина новая 2024года, пробег 15тыс.;Азамат Куандыков;False;False;;0;0;;1;2gis;
220642455;2026-02-20;11:23:06;1;"Оформлял страховку ОГПО. 
Данный вид страхования является обязательным, поэтому цены утверждены государством, и цены везде должны быть одинаковыми. 

Каково было удивление узнать, что при прочих равных условиях везде моя страховка стоит 35 000 тенге, а именно во Фридоме 43 000 тенге. 

Начинаю копаться и узнавать почему. Оказывается, есть некая прослойка в виде посредника - компания Тумар. Сверху накидывают свои 8 000. 

Ничего не делая, ничего не создавая, никаких усилий не прилагая, просто дополнительная коррупционная прослойка. 

Вроде бы финтех новый инновационный себя позиционирует, а методы управления старые совковые коррупционные. 
За это ставлю 1 и вряд ли обращусь теперь в ""продвинутый"" финтех";IskanderS1 .;False;False;;0;0;;0;2gis;
220340274;2026-02-18;19:45:49;1;ДТП тускениме 10 кун болды али отцентка аламай жатырм кужаттарын дурыс емес. То анау дурыс емес деп мына жерде мактап жазып откандар оз адамдары го 100% карапайым халыкты заплатып койган болды айтеуыр жиберген документы 3 кун карайды еще 3 кунен кейын Дурыс емес кайта жибер деп те айтуы мумкин айтады да ведио жибересин оны 5 кун карайды олда дурыс болмай калса тагы тусирип жибересин Тагы 5 кун кутесин;Галымжан Жексембеков;False;False;;0;0;;0;2gis;
218679596;2026-02-11;16:58:37;5;КАСКО рәсімдеуге хабарласып, менеджер барлық сұрақ бойынша көмектесті. Қызмет көрсету ұнады;Феруза Аширбекова;False;False;;0;0;;0;2gis;
217628985;2026-02-07;20:20:47;1;ДТП был две тыщи 25-м году щас 2026 г. два месяца прошел не могу выплату получить то договор это не работает то не так сделал то это документ не хватает вообще позор люди не берите эту с этой компании вообще страховку позор думаю суд обратиться чтобы страховку страховать выплату получить им звонишь а не то это говорит то это говорят короче не хотят они деньги дать вообще;Нурболсын Умирзаков;False;False;;1;0;;0;2gis;
217449437;2026-02-06;22:58:06;1;страховая вообще никакая, никому не посоветую;Кайрат Абжапаров;False;False;;1;0;;0;2gis;
217424377;2026-02-06;21:03:50;5;ДТПдан кейін қосымша арқылы өтініш жiбердім. Фотосуретпен құжаттарды жібердім. Күткенімнен де тез жауап берді.;Диас Кошербай;False;False;;0;0;;0;2gis;
216232162;2026-02-02;13:17:48;2;Отвратительная работа. После ДТП не могу даже осмотр провести, в назначенное время никто не выходит на связь, все время непонятные проволочки. Не могу делать машину, пока не отсмотрят. Не рекомендую эту компанию для страхования, а ней нет порядка и обратной связи. Зашла написать отзыв и поняла почему стоят одни 1 и 2. Жаль, что мы не смотрим отзывы при страховании транспортного средства;Nina Kozhahmetova;False;False;;2;0;;0;2gis;
212087185;2026-01-14;17:01:11;1;Каско алмандар бұл компаниядан ақша бермейді анау дит мынау дит опшым ұйқтатады проблема керек болмаса жоламандар бұл компанияға;Орынбасар Жанкалы;False;False;;2;0;;0;2gis;
211444636;2026-01-11;15:37:38;1;Крайне некомпетентный коллектив. В течении месяца техподдержка не смогла инициализировать меня в своей программе. Пришлось обращаться к умным и порядочным специалистам.;Константин Варюта;False;False;unrated_manual;0;1;;0;2gis;
210949259;2026-01-08;19:46:29;1;Супруг попал в ДТП вина не его и уже 2 месяца ждем выплат . Не отвечают на звонки связи нет никакой ! Оценили очень дешево и этого не можем получить . Отвратительная организация ! Буду подавать жалобу 😡;Римма Константинова;False;False;unrated_manual;0;1;;0;2gis;
206696703;2025-12-19;18:58:10;1;Люди не страхуйте автомобиль в этой шараге. Не дай бог дтп, пострадавшая сторона потом проклянут вас. Не портите себе карму. 💯;Barracuda $;False;False;;9;0;;0;2gis;
204817458;2025-12-09;17:29:26;1;Прочитал отзывы перехотел свои проблемы писать 🤣 самые ужасные что менеджера что оценщики что приемщики что ответственные сотрудники каждый раз разные менеджера рассказывают разную историю Лид бы не платить, наверное руководство платит бонусы за каждый не выплаченную сумму, ужасно что вы есть, самые безответственные самые ужасные самые самые … слов таких нельзя писать компания;Yermek Adilov;False;False;;7;0;;0;2gis;
204417762;2025-12-07;12:58:02;1;"Оформил страховку, думая, что покупаю обычное обязательное ОГПО. Однако в Фридом Страховании мне продали продукт под названием «ОГПО+», который визуально и по названию выглядит как обязательная страховка. В момент оформления никто не сообщил, что это добровольная страховка, которая не заменяет ОГПО и не освобождает от ответственности перед полицией.

Из-за этого оказался в неприятной ситуации: при проверке документов сотрудники полиции сообщили, что это не ОГПО, а совершенно другой продукт, который не является обязательной страховкой.

Считаю такие действия вводящими в заблуждение. Название «ОГПО+» и оформление полиса сделаны так, что большинство людей может подумать, что это обычное ОГПО с расширением, хотя фактически это совсем другой продукт, и обязательная страховка остаётся неоформленной.

Прошу компанию обратить внимание на прозрачность и честность при продаже страховок. Клиент должен чётко понимать, что покупает, а не узнавать об этом от полиции.";Bob S;False;False;;1;0;;0;2gis;
204276603;2025-12-06;16:18:18;1;"Отвратительная компания не хотят выплачивать по страховому случаю приходиться обращаться к оценщикам, онбудсмену и аффр, далее в суд.
Пусть вам мое время и деньги полетят в карму как минус.";Rus L;False;False;;6;0;;0;2gis;
203964175;2025-12-04;21:45:02;1;Это ужас у меня дтп левый бок авто сильно поврежден двери стоика крыша и пороги салон авто акцент 2013г они посчитали 780.000 хотя у меня за ремонт только попросят 800.000 двери самому покупать они мне посчитали одну дверь 107.000 хотя на рынке самые дешёвые 250 Я не могу понять как они считают худшая компания никому не советую одним словом ПРОШУ ВАС ЛЮДИ ДЕРЖИТЕСЬ ПОДАЛЬШЕ ОТ ЭТОГО ЛОХОТРОНА ВСЕ НЕРВЫ СЕБЕ ВЫМЫТУЮТ ЛИШЬ БЫ НЕ ПЛАТИТЬ придётся теперь дальше через суд требовать справедливую цену на ремонт;Aibos;False;False;;14;1;;3;2gis;
203295432;2025-12-01;22:38:28;1;Самая отвратительная страховая компания! Не хотите потерять свои деньги, время, нервы - НЕ СВЯЗЫВАЙТЕСЬ С НИМИ.;Александр Мамедов;False;False;;4;0;;0;2gis;
202337522;2025-11-26;21:19:23;1;Не работает оповещение об окончании страховки , попали на штраф, у юр. лиц от 1,5 ляма 😡 . Надо менять СК.;Ержан Кантаев;False;False;;0;0;;0;2gis;
201800308;2025-11-24;14:11:14;1;Переоформил прицеп, неделю пытался вписать его в страховку, не работает приложение, не работает сайт, по номеру 5777 после автоответчик тишина, сотрудники даже не пытались мне помочь, ссылаясь на то что я неправильно заполняю документы, или у мне нужно поменять браузер , в общем так и не смог сделать страховку,не делайте тут страховой полис друзья... вобще не советую !;Евгений Москвин;False;False;;1;0;;0;2gis;
196749556;2025-10-31;16:05:52;1;"Просто позорище для такого ""холдинга"" как они себя позиционируют. Служба поддержки в ватсапе отвечают через 2-3 дня в лучшем случае. 

Попробуйте зайти в личный кабинет когда забыли пароль, делаете сброс пароля, в лучшем случае смс на номер - приходит, может и не прийти. После пишете новый пароль, и даже если соблюдаете отсталые правила пароля - он не принимает!.

Также как многие писали - при оформлении страховки онлайн выходит комиссия 10-20% при оплате например картой Каспи. Это как я заметил, специально сделано и не всегда так выходит, при отмене и повторном заполнении иногда эта комиссия не выходит.

Раньше использовал эту страховую для удобства онлайн оформления, думаю, это было в последний раз, т.к прочитал здесь отзывы, как я понял недобросовестная страховая компания в плане выплат и т.д и теперь буду всех знакомых отговаривать от них.";Бек Б;False;False;;5;0;;4;2gis;
195845286;2025-10-28;12:58:05;1;Всех приветствую, никому не советую связываться с данной страховой компанией , обратная связь просто нулевая , менеджера несут какую-то чушь , в указанные сроки не предоставляют информацию. Одним словом просто дно , я думал самое дно это Centra’s Insurance , оказывается самое дно это Freedom Insurance, больше в это шарашкиной конторе оформляться не буду!!!;Kadyr Kamzabekov;False;False;;6;0;;0;2gis;
194807111;2025-10-23;03:20:24;1;Полная лажа а не страховая, их 5 дней растягиваются на месяца;Nur Namiraev;False;False;;5;0;;0;2gis;
