id;дата;время;рейтинг;текст;автор;is_verified;is_hidden;hiding_type;likes_count;comments_count;official_answer;фото_count;provider;url
237293983;2026-04-20;19:50:45;1;Специалисты так и не связались 😒;W221 Designo;False;False;;0;0;;0;2gis;
236646497;2026-04-17;16:12:47;1;Две недели уже тянут придумывают каждый день что то новое вводят в заблуждения после заполнения заявки спустя неделю прислали отказ якобы виновник не застрахованный в итоге после звонка и часового разговора с ними в итоге они нашли страховой полис он появился каким-то образом они его потеряли в итоге нашли теперь отправили заявку на перерассмотрение и каждый день отправляют недостающие документы якобы прикрепите хотя при заполнении заявки всё было прикреплено очень недоволен и зол работай в данной компании страховой;Сергей Довбенко;False;False;;0;1;;0;2gis;
235223612;2026-04-10;19:46:59;5;1 ай бұрын ДТП болған еді сол уақыттан бері компанияға бірнеше обращение ұстап келдім қанша маман жұмыс істеді сол уақытта нақты жұмысты шешкен Уали Қарақат есімді жұмыскер үлкен алғыс білдіремің рахмет!!;Бекзат Тлеухан;False;False;;0;1;{'date_created': '2026-04-18T21:47:54.76936+07:00', 'id': '64628661', 'logo_preview_urls': {'1920x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_1920.png', '320x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_320.png', '640x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_640.png', '64x64': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_64_64.png', 'url': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image.png'}, 'org_name': 'Freedom Finance Insurance, консультационный пункт по выплатам', 'text': 'Рақмет пікіріңізге!\nКөмегіміз тигеніне қуаныштымыз.'};0;2gis;
235165786;2026-04-10;15:37:13;1;Пользоваться Вашими услугами сплошной стресс, с 28 февраля не могу получить выплаты, устроили бюрократию, сколько можно вкладывать документы в Ваш сервис dtp.kz, не упростили, а усложнили все в 1000 раз, никому посоветую с Вами связываться;Anar Abuova;False;False;unrated_manual;0;1;;0;2gis;
234727035;2026-04-08;13:37:16;5;Очень благодарен Замире за оказанную ею помощь в оформлении страхового полиса.Так помогать могут только специалисты высокого уровня.;иван сотников;False;False;;0;1;{'date_created': '2026-04-18T21:50:59.266234+07:00', 'id': '64628758', 'logo_preview_urls': {'1920x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_1920.png', '320x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_320.png', '640x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_640.png', '64x64': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_64_64.png', 'url': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image.png'}, 'org_name': 'Freedom Finance Insurance, консультационный пункт по выплатам', 'text': 'Здравствуйте, Иван, благодарим за высокую оценку 🙏👌 Рады работать для вас.'};0;2gis;
233292924;2026-04-02;09:47:04;5;Доброе утро! Спасибо Вам большое! Отчет сделали за пол дня, средства поступили сразу на следующий день. В наше время первый раз вижу такую компанию которая все быстро и оперативно делает. Видно что менеджеры все профессионалы своего дела. Вам процветание, удачи и дальнейших успехов! Ещё раз Вам огромное спасибо!;Бахтияр Жұмабай;False;False;;0;1;{'date_created': '2026-04-18T21:51:08.793653+07:00', 'id': '64628763', 'logo_preview_urls': {'1920x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_1920.png', '320x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_320.png', '640x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_640.png', '64x64': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_64_64.png', 'url': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image.png'}, 'org_name': 'Freedom Finance Insurance, консультационный пункт по выплатам', 'text': 'Добрый вечер, огромное спасибо за ваш отзыв ❤'};0;2gis;
233172086;2026-04-01;18:06:26;5;Фридом кызметкерлері соның ішінде Каринаға көп рахмет. Карина сияқты білікті білімді мамандар көп болса екен. Алла еңбектеріңе берекет берсін. Рахмет.;Жанболат Сауекенов;False;False;;0;1;{'date_created': '2026-04-18T21:52:16.037885+07:00', 'id': '64628791', 'logo_preview_urls': {'1920x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_1920.png', '320x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_320.png', '640x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_640.png', '64x64': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_64_64.png', 'url': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image.png'}, 'org_name': 'Freedom Finance Insurance, консультационный пункт по выплатам', 'text': 'Рақмет пікіріңізге!\nКөмегіміз тигеніне қуаныштымыз.'};0;2gis;
233135739;2026-04-01;15:21:41;5;Лучшие оператор 👍🏻;Данияр Ермекпай;False;False;;0;1;{'date_created': '2026-04-18T21:52:29.220738+07:00', 'id': '64628797', 'logo_preview_urls': {'1920x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_1920.png', '320x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_320.png', '640x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_640.png', '64x64': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_64_64.png', 'url': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image.png'}, 'org_name': 'Freedom Finance Insurance, консультационный пункт по выплатам', 'text': 'Добрый день, благодарим, очень приятно получать обратную связь 😉'};0;2gis;
233134319;2026-04-01;15:15:38;5;Фредомға рақмет жылдам ары тез аз уақыт ішінде автостраховка жасап берді операторларынада мың алғыз кез-келген сұрақ оңай әрі тез жауап берді 1 апта көлемінді автокөлікт ремонттап алдым.;Нұрболат СМП;False;False;;0;1;{'date_created': '2026-04-18T21:52:37.294573+07:00', 'id': '64628800', 'logo_preview_urls': {'1920x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_1920.png', '320x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_320.png', '640x': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_640.png', '64x64': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image_64_64.png', 'url': 'https://ams2-cdn.2gis.com/previews/1203693134148534275/ca5110f7-487e-4e17-9c51-a7f0c34eace3/1/ru/image.png'}, 'org_name': 'Freedom Finance Insurance, консультационный пункт по выплатам', 'text': 'Рақмет пікіріңізге!\nКөмегіміз тигеніне қуаныштымыз.'};0;2gis;
232755879;2026-03-31;00:40:12;1;Страховые агенты не компетентные, на элементарный вопрос растянули ответ на целый день и по итогу так и не получила ответ. Оценку даю специалисту Сулейменовой Анель. Года два назад страховала в этой компании авто, после несколько раз писала им по вотсап, хотят отвечают, а не хотят, то игнорят. Вспомнила этот факт после того, как пообщалась с Анель, страховаться буду в другой компании после такого отношения менеджеров.;Мама Чёли;False;False;;0;1;;0;2gis;
