id;дата;время;рейтинг;текст;автор;is_verified;is_hidden;hiding_type;likes_count;comments_count;official_answer;фото_count;provider;url
237288641;2026-04-20;19:28:44;1;Купила билет в пятницу 17/04 в приложении Freedom App. Уже в субботу ночью поступило сообщение от авиакомпании об отмене рейса. Утром в субботу отправила заявку на вынужденный возврат средств. Сначала в заявке было написано, что ожидание час. Как час завершился, ничего в статусе не поменялось. Написала в поддержку (ии-ассистент, никаких других средств связи нет нигде). Сначала написали, что рейс не отменяли, пришлось им отправить подтверждение. Потом пишут, что заявка в обработке и возврат средств займет 60-90 рабочих дней !!!! Это что за ужас? Пишу, что это ненормально и прошу соединить с реальным человеком, ответа пока нет. Одна надежда, что кто-то заметит этот комментарий. Обработка заявки и возврат средств не должны занимать столько времени, как после отмены рейса мне покупать новый билет? На какие деньги?;Nargiz N;False;False;;0;0;;3;2gis;
236960933;2026-04-19;02:04:02;1;Сегодня общалась с оператором Перизат. Полный игнор, шаблонные ответ «на отвали». В конце вообще перестала отвечать и переключила на другого оператора. Второй оператор опроверг ответы Перизат, то есть Перизат убеждала и отвечала мне не корректно. Хотя уходила на подумать на несколько часов. В итоге предоставила не корректные ответы. После Перизат подключилась Карэн и предложила как выйти из ситуации и было видно, что заинтересована помочь.;SJ SJ;False;False;;0;0;;0;2gis;
235946474;2026-04-14;14:16:21;1;Испортили великолепно работающий сервис. Теперь ничего не купить, ничего не вернуть, достучаться до оператора - бесполезно. Уходим сами, как физ.лица и уводим оттуда юр.лицо. Не связывайтесь с ними.;Павел П;False;False;;1;1;{'date_created': '2026-04-14T18:45:48.531122+07:00', 'id': '64426904', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \n\nОчень жаль, что у вас сложилось такое впечатление - это точно не тот опыт, к которому мы стремимся.\nМы хотим разобраться в ситуации и проверить, что именно пошло не так.\n\nПожалуйста, напишите нам номер заказа или билета - мы обязательно всё проверим и постараемся помочь💚'};0;2gis;
235638753;2026-04-12;20:42:33;2;Сегодня хотел взять Авиа билет в фридом супер ап, на стадий бронирования одна цена, при оплате дороже цена(((;Дархан Дархан;False;False;;0;1;{'date_created': '2026-04-14T11:46:35.926325+07:00', 'id': '64399092', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \n\nПонимаем, ситуация правда неприятная.\n\nБилеты разбирают очень быстро. Пока вы вводите данные, нужный тариф может уже закончиться и тогда система сразу показывает следующий доступный вариант.\n\nМы показываем цены напрямую от авиакомпаний в реальном времени, поэтому они могут меняться прямо во время оформления. Итоговая стоимость фиксируется в момент оплаты.\n\nЕсли будут вопросы - всегда на связи и поможем разобраться💚✈️'};0;2gis;
235461231;2026-04-11;21:56:23;5;"Спасибо за оперативное решение вопроса, возникшего с билетом, вылет в Дубай. Особая благодарность Тыныбекову Ануару
Желаю процветания вашей компании!";Sveta Duanabaeva;False;False;;0;0;;0;2gis;
235346679;2026-04-11;13:19:40;1;"Обращался в поддержку — ответа нет, проблему не решают, сроки постоянно откладывают.

Деньги до сих пор не возвращены уже 3 день . Считаю это прямым нарушением прав потребителя.
Не рекомендую данную компанию!";Алмат Ниспеков;False;False;;0;1;{'date_created': '2026-04-14T11:25:04.32851+07:00', 'id': '64398075', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\n\nПонимаем, что ждать возврат - не самый приятный момент.\n\nПроверили: с нашей стороны деньги отправили в день обращения, чек уже есть в чате. Дальше срок зависит от банка - обычно зачисление занимает от 1 до 10 рабочих дней.\n\nКстати, при оплате через Freedom SuperApp возвраты проходят заметно быстрее - это одно из удобств внутри приложения 💫\n\nПожалуйста, немного подождите - деньги обязательно поступят вам в ближайшее время 💚'};4;2gis;
235307782;2026-04-11;06:04:17;1;"Ужас!!! Купили заранее билеты с Алматы в Дубай, пришли в аэропорт, а оказалось нет нас в системе! Пишу в поддержку, не знают, дозвонилась: а они якобы рейс отменен, хотя он уже на регистрации, Не отменен! В итоге, предложили только возврат денег и покупайте на месте билет 
В итоге, пришлось купить в 3 раза дороже! Из за их некомпетентности";Z S;False;False;;0;1;{'date_created': '2026-04-14T11:34:07.879179+07:00', 'id': '64398485', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \n\nПонимаем, как неприятно, когда поездка оборачивается стрессом и лишними расходами. Хотим разобраться, что именно произошло со статусом рейса и почему не получилось помочь на месте.\n\nПодскажите, пожалуйста, номер заказа или бронирования - всё проверим и вернёмся к вам с ответом 💚'};0;2gis;
235307311;2026-04-11;05:44:13;1;"Купили билеты на Freedom Travel Шанхай-Алматы за 468 тыс. Оплата списалась сразу же, вылет через 12 часов. 

Стоим сейчас в аэропорту, о нас нет никакой информации на рейсе, регистрация закроется через 26 минут, поддержка Фридома не отвечает. 

Фридом просто не выкупил билет. Решите вопрос!";Дания Ес;False;False;;0;1;{'date_created': '2026-04-14T11:31:20.57247+07:00', 'id': '64398331', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Приносим извинения за эту ситуацию в аэропорту 💚\nЭто точно не тот опыт, который мы хотим давать нашим пассажирам.\n\nИз-за технического сбоя бронирование не сразу подтянулось в систему авиакомпании. Нам было важно как можно быстрее всё исправить, и рады, что удалось подобрать альтернативные билеты и отправить вас в тот же день.\n\nСпасибо за ваше терпение и доверие - уже усиливаем процессы, чтобы такие ситуации не повторялись 💫'};0;2gis;
234541481;2026-04-07;23:56:58;1;Не берите билеты через фридом тревел! Кривое обслуживание. До оператора как до Папы Римского;Данияр Джанзаков;False;False;;0;1;{'date_created': '2026-04-08T20:40:00.495009+07:00', 'id': '64127818', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \nМы хотим разобраться в ситуации и помочь.\nПожалуйста, напишите номер вашего заказа или брони. Мы всё изучим и вернемся к вам с ответом💚'};0;2gis;
234477874;2026-04-07;18:50:32;1;Ужасный сервис не отвечает на вопросы говорят что надо оплатить потом возвращают деньги и промокод не работает слов нет просто;Aruzhan Seiitkassymova;False;False;;0;1;{'date_created': '2026-04-08T18:35:30.051812+07:00', 'id': '64121279', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\n\nЧтобы мы могли разобраться и помочь, пришлите, пожалуйста, номер вашего заказа или брони - проверим ситуацию и вернёмся с ответом💚'};0;2gis;
234314206;2026-04-06;22:20:56;1;Не выдали кэшбек ссылаясь на то, что у них изменились правила. Вот так и всех обманивают.;Алия Садуакасова;False;False;;0;1;{'date_created': '2026-04-07T19:17:41.238479+07:00', 'id': '64065769', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Добрый день!\n\nДа, с 30 декабря 2025 года условия начисления повышенного кешбэка от Freedom Travel изменились. Теперь партнерский кешбэк (до 7-10% и выше) начисляется только при покупке билетов внутри SuperApp Freedom Bank, и повышенный кешбэк сейчас действует при бронировании и оплате именно через приложение Freedom SuperApp. Это связано с тем, что сервис Freedom Travel был интегрирован в приложение банка, и вся дополнительная выгода перенесена туда.\n\nВ приложении Freedom Travel отображается информация о том, что повышенный кешбэк доступен в Freedom SuperApp. Также с условиями можно ознакомиться на основной странице в разделе о переезде кешбэка и при нажатии на стоимость с кешбэком.\nСпасибо, что обратили на это внимание - передадим вашу обратную связь команде, чтобы сделать этот момент более понятным и заметным для пользователей.'};0;2gis;
234309880;2026-04-06;21:57:44;1;"Не советую покупать билеты через Freedom Travel❗️Купить билет без проблем, деньги берут быстро. А вот дальше начинается полный хаос. В моём билете указаны некорректные паспортные данные, которых в реальности у меня просто нет. Похоже на системную ошибку, но разбираться с этим никто нормально не хочет.
Пишу им каждый день в WhatsApp и каждый раз новая информация. Сегодня говорят, что всё исправили, завтра что ничего не меняли. То готово, то в процессе 🤦🏻‍♀️ но никаких подтверждений, обновлённых билетов или документов не предоставляют.
По их мнению должна верить на слова и только в день вылета могу уточнить 😂 и то в аэропорту. Нет колл-центра, нет нормальной поддержки, нет ответственности. Если не хотите тратить нервы и бегать за элементарным решением своей проблемы лучше не связываться. Есть сервисы, которые реально работают и отвечают за свои услуги.";Арай Капур;False;False;;0;2;{'date_created': '2026-04-07T17:53:24.784076+07:00', 'id': '64060074', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Да, в процессе корректировки данных могли вас запутать - сейчас всё уже исправили, билет актуален.\n\nСпасибо, что подсветили - учтём и усилим этот момент 💚'};0;2gis;
233360528;2026-04-02;15:43:30;1;1млн оплатила не вернули деньги у них ужасно компания суд подам;Gulnura Jumabekova;False;False;;0;1;{'date_created': '2026-04-02T16:09:05.13007+07:00', 'id': '63814098', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\n\nЧтобы мы могли разобраться и помочь, пришлите, пожалуйста, номер вашего заказа или брони - проверим ситуацию и вернёмся с ответом💚'};0;2gis;
232915394;2026-03-31;19:58:02;5;Лучшая поддержка 💚;Кира Евсеева;False;False;;0;0;;0;2gis;
232817063;2026-03-31;12:46:42;1;Купили билет в Джидду, рейс отменили, билет возврат оформили , деньги не поступают, уже как месяц прошел! Говорят ждать еще 2 мес!!!;Жанаргуль Ескалиева;False;False;;0;1;{'date_created': '2026-03-31T14:12:12.244572+07:00', 'id': '63693070', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \n\nЧтобы мы могли разобраться и помочь, пришлите, пожалуйста, номер вашего заказа или брони - проверим ситуацию и вернёмся с ответом💚'};0;2gis;
232604731;2026-03-30;13:04:08;1;"Будьте внимательны с билетами в Freedom Travel.

Личный кейс: в приложении показывается более выгодная цена/кешбэк (через SuperApp), и визуально это воспринимается как доступная альтернатива при покупке.

По факту — это отдельный сценарий с другими условиями, и если оформляешь в текущем интерфейсе, получаешь стандартный кешбэк.

Я прошёл весь путь с поддержкой и официальной претензией — ответ компании: «всё корректно, информация носит информационный характер».

При этом по факту создаётся ожидание одной выгоды, а результат получается другой.

Делайте выводы сами, просто имейте в виду.";Yerassyl Baizhumanov;False;False;unrated_manual;0;1;{'date_created': '2026-03-30T19:35:18.632017+07:00', 'id': '63656934', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Добрый день!\n\nДа, повышенный кешбек переехал в Freedom SuperApр. Дело в том, что сервис Freedom Travel интегрирован в мобильное приложение банка Freedom SuperApp, и повышенный кешбэк теперь действует именно через это приложение. В приложении FreedoTravel отображается информация, что повышенный кешбэк переехал в Freedom SuperApp и начисляется при бронировании и оплате через него.\n\nНа основной странице, в разделе о переезде кешбэка, а также при нажатии на стоимость с кешбэком, можно подробнее ознакомиться с условиями.\n\nСпасибо, что поделились своим наблюдением! Мы обязательно передадим вашу обратную связь команде разработки, чтобы сделать отображение этой информации более заметным и удобным для всех пользователей.'};0;2gis;
232593451;2026-03-30;12:07:02;1;Отвратительный сервис, вообще не решают проблемы, возникшие по причине переноса дат рейсов.;Aigul Andakulova;False;False;;0;4;{'date_created': '2026-03-30T13:19:52.119318+07:00', 'id': '63624236', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\n\nНам очень жаль, что у вас сложилось такое впечатление.\n\nХотим разобраться и помочь, пожалуйста, пришлите номер вашего заказа или брони - проверим информацию и вернёмся к вам с ответом💚'};0;2gis;
231955878;2026-03-27;13:18:18;1;Купил билеты онлайн за три месяца. В день отьезда узнаю что билеты по брони по каким то причинам не выписаны. Они выписывают новые но без багажа. Багаж по их словам я должен покупать сам а деньги за багаж они вернут. До сих пор не вернули. Считаю работу и сервис отвратительным. Не советую. Десять раз подумайте прежде чем брать там билеты.;Евгений Сажин;False;False;;0;3;{'date_created': '2026-03-27T13:50:11.243121+07:00', 'id': '63491708', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \n\nНам очень жаль, что у вас сложилось такое впечатление.\n\nЧтобы разобраться и помочь, пожалуйста, пришлите номер вашего заказа или брони - проверим информацию и вернёмся к вам с ответом💚'};0;2gis;
231770889;2026-03-26;16:02:28;1;"Оценка: 0. Даже 1 звездочку жалко реально. Сразу же отправила запрос на возврат, так как на рейсе нет ручной клади. До сих пор специально тянут время чтобы выписывать больше штрафа. Сотрудники спеицально тянут время с фразами: ""еще не получили ответа, ожидайте"". Уже почти сутки жду их ответа. До вылета остается 3 дня и хоп, скажут что штрафа на возврат будет больше

 В турагентствах и то бысто реагируют на такой запрос, на возврат, хотя там много партнеров и решают вопросы с несколькими услугами за раз: отели, авиабилеты, транспорт, медстраховка и т.д. А тут с вопросом авиабилетов не справляются. Ужас какой. 

Людии, не берите, не покупайте у них ничего, если не хоьите тратить лишние нервы. Лживую информацию дают и специально тянут время с решением элементарного одного вопроса. Неконкретная компания и партнеры такие же";Жансая Хан;False;False;;1;1;{'date_created': '2026-03-27T17:51:54.347503+07:00', 'id': '63508745', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \n\nНам очень жаль, что у вас сложилось такое впечатление.\n\nМы всегда стараемся обрабатывать запросы максимально быстро. Действительно, из-за повышенной нагрузки у поставщика ответ занял немного больше времени - понимаем, что это может быть неудобно, и приносим извинения за ожидание. Видим что вопрос удалось решить и возврат был успешно оформлен.\n\nСпасибо за ваше терпение и понимание 💚 Мы всегда стремимся сделать сервис удобным, особенно в периоды высокой нагрузки.'};0;2gis;
228796979;2026-03-13;13:57:51;1;Өте қиын придложение, даже бір жұлдыздың өзі жалко;Болсынай Сұлтанбекова;False;False;;0;1;{'date_created': '2026-03-13T17:22:59.745014+07:00', 'id': '62757457', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Сәлеметсіз бе! \n\nОрын алған қолайсыздықтар үшін сізден кешірім сұраймыз.\n\nБіз билетіңізді жүйе арқылы қайта жібердік - енді ол қосымшада дұрыс ашылып, көрсетілуі тиіс. Өтініш, қайта тексеріп көріңізші.\n\nБұл қателікті көрсеткеніңіз үшін рақмет. Мұндай пікірлер бізге осындай олқылықтарды тезірек тауып, түзетуге көмектеседі. Сервисті пайдалану оңай әрі ыңғайлы болуы үшін біз қосымшаны жақсарту бойынша жұмыс істеп жатырмыз💚'};1;2gis;
228365545;2026-03-11;11:20:21;1;Я купила билет, увидела, что ошибся в обратном направлении, и не прошло и 1 минуты, как я сделала возврат, но за штраф удержал 60% и не перевел остальную сумму. На Каспии через сколько дней вы сделаете возврат, а если и больше, то только 3-4 тысячи удерживают они. Не выгодно покупать билеты с этим приложением “freedom travel”.;Айдана Аблади;False;False;;1;4;{'date_created': '2026-03-11T12:45:00.721868+07:00', 'id': '62627908', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \n\nХотим разобраться в и помочь. Подскажите, пожалуйста, номер заказа или номер брони/билета - проверим информацию и вернёмся к вам с ответом💚'};0;2gis;
225651096;2026-03-02;17:38:03;4;Ждал возврата средств больше месяца, пока здесь не написал внимания проблеме не было, надеюсь улучшите этот процесс;Руслан Русланович;False;False;;0;3;{'date_created': '2026-03-03T18:53:58.336681+07:00', 'id': '62255211', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте! \nХотим разобраться в вашей ситуации. Пожалуйста, напишите номер вашего заказа или билета, чтобы мы могли проверить детали💚'};0;2gis;
219968765;2026-02-17;18:34:07;1;"Приложение ""Очень обидно, купила билеты, меняю дату а мне штраф выставили и ещё доплату оплатила, в итоге билеты обошлись 110000тн. Это ужас просто""";Assem Ba;False;False;;0;1;{'date_created': '2026-02-17T20:39:16.658553+07:00', 'id': '61531126', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\n\nНам искренне жаль, что ситуация с обменом оставила неприятные впечатления. Это действительно расстраивает, и мы вас понимаем.\n\nПри изменении даты мы опираемся на правила тарифа, которые устанавливает авиакомпания. В расчёт входят штраф за обмен и разница в стоимости между первоначальным и новым билетом на момент переоформления. Мы, как сервис, проводим обмен строго по этим условиям и не можем их корректировать.\n\nЕсли вам удобно, напишите номер заказа ответом здесь - всё проверим и подробно разберём расчёт. Нам важно, чтобы у вас была полная ясность и уверенность 💚'};0;2gis;
217370441;2026-02-06;17:10:48;5;Very fast to answer good service;Rems Hipolito;False;False;;2;0;;0;2gis;
215307775;2026-01-28;23:13:27;5;Больгая Благодарность менеджеоу Александре . Очень дружелюбная , энергия добрая и знает свое лело . Оперативна , бережна и четко все обьясняет и очень предупредительна ( крайне важное качество ) . На нее можно положиться;арай мукашева;False;False;;0;0;;0;2gis;
212237864;2026-01-15;13:42:11;5;Остались в полном восторге от поездки в Дубай! Обратились в это агентство и не прогадали. Тур подобрали идеально под наш бюджет и запросы. Все этапы — от бронирования до самого перелета — прошли без заминок. Отель превзошел ожидания, сервис на высоте. Спасибо за крутой отдых и профессионализм, теперь только к вам!;Shynggys;False;False;;0;0;;0;2gis;
211997882;2026-01-14;02:40:57;1;Самые дорогие билеты!;Я Я;False;False;;0;1;{'date_created': '2026-01-14T13:26:34.733076+07:00', 'id': '59734963', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\n\nЦены на билеты могут отличаться в зависимости от авиакомпании, направления и дат путешествия. При этом мы всегда стараемся давать выгодные варианты и регулярно запускаем акции.\n\nКак раз сейчас действует отличное предложение ✈️\n-20% на билеты авиакомпании Vietjet Qazaqstan на все направления - акция доступна только в Freedom SuperApp.\nПокупка с 14 по 16 января, путешествовать можно в любые доступные даты (кроме субсидированных рейсов).\nЕсли понадобится помощь - мы рядом и с удовольствием подскажем💚'};0;2gis;
211426890;2026-01-11;13:54:45;1;сделали возврат билетов в ноябре , деньги до сих пор не поступили на счёт , что за сервис такой безответственный ((((сказали в течении месяца поступят , но прошло уже больше времени и нет;Adima Kairova;False;False;;1;1;{'date_created': '2026-01-12T11:54:11.078692+07:00', 'id': '59593786', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\nПонимаем, как неприятно ждать возврат дольше обещанного - вы правы, так быть не должно. Спасибо, что подсветили это.\nПодскажите, пожалуйста, номер заказа, брони или билета - проверим статус возврата и поможем разобраться💚'};0;2gis;
210340833;2026-01-05;19:39:50;2;"Простите но данное направление для каких недалеких людей придумано? Или во фридом Трэвел всех считают таковыми? 
При выборе авиа варианта, проваливаешься сначала в какие-то доп услуги от 1500 до 2500 типа страховка, к нему еще «сервисные услуги» 3000 тг, итого + 5000 тг к сумме типа низкого тарифа. 
Неужели нельзя было элементарно придумать как в других приложениях общую сумму? Вид бурной деятельности создание только. Может надо было довести до ума и потом запускать?!";R R;False;False;;0;1;{'date_created': '2026-01-06T13:36:29.105436+07:00', 'id': '59366829', 'logo_preview_urls': {}, 'org_name': 'Freedom Travel, агентство онлайн-бронирования билетов', 'text': 'Здравствуйте!\nСпасибо, что поделились своим мнением - для нас важно получать обратную связь.\n\nПри выборе авиабилета авиакомпании предлагают разные тарифы от базовых до более гибких и комфортных. Они отличаются не только ценой, но и условиями: наличием багажа, возможностью возврата или обмена, выбором места и другими опциями. Каждый пассажир может выбрать вариант, который лучше всего подходит ему по условиям и стоимости.\n\nДополнительные услуги, такие как страховка, онлайн-регистрация, SMS-уведомления об изменениях рейса и другие, не являются обязательными. Мы предлагаем их для удобства и комфорта пассажиров, а решение о их включении в заказ всегда остается за вами. Итоговая стоимость формируется на основе выбранного тарифа и услуг.'};0;2gis;
209854309;2026-01-02;23:15:46;5;"Хочу выразить огромную благодарность сотруднице Айжан(внутр.номер 232) за профессионализм и человечность🙏🏻🤍 У меня была сложная экстренная ситуация со здоровьем, из за которой потребовалось вернуть авиабилет компании FlyArystan. Обратилась в компанию и моим менеджером оказалась Айжан. Айжан внимательно выслушала, объяснила возможные варианты и сопровождала процесс на каждом этапе🙏🏻 
Благодаря её настойчивости, грамотному подходу удалось решить этот вопрос очень оперативно ☺️, буквально за один день, даже меньше. Было очень ценно, что сотрудница действительно старалась помочь, спасибо ей за терпение и высокий уровень профессионализма и эмпатии🥹🙏🏻 Это был мой первый опыт обращения в данную компанию, и благодаря Айжан он был исключительно положительным. Обязательно будем обращаться еще за покупками билетов😊";Камила Несіпбай;False;False;;0;0;;0;2gis;
